frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
42,11.93,83.18,61.1,2,0,0,,,
43,11.6,85.61,60.0,2,0,0,,,
44,11.95,83.03,58.1,2,0,0,,,
45,11.97,82.94,60.0,2,0,0,,,
46,11.94,83.09,62.9,2,0,0,,,
47,11.91,83.34,58.8,2,0,0,,,
48,11.93,83.19,60.0,2,0,0,,,
49,11.97,82.92,60.6,2,0,0,,,
50,11.95,83.02,57.6,2,0,0,,,
51,11.87,83.6,57.6,2,1,1,0.577,MEDIUM,Person on your left
52,11.93,83.18,61.8,2,0,0,,,
53,11.87,83.64,63.2,2,0,0,,,
54,11.89,83.42,63.9,2,0,0,,,
55,11.51,86.26,59.5,1,0,0,,,
56,11.87,83.62,61.8,2,0,0,,,
57,11.84,83.89,60.0,2,0,0,,,
58,11.89,83.42,57.6,2,0,0,,,
59,11.86,83.68,60.6,2,0,0,,,
60,11.79,84.12,58.8,2,0,0,,,
61,11.89,83.5,57.6,2,0,0,,,
62,11.79,84.17,58.1,2,0,0,,,
63,11.91,83.36,60.0,2,0,0,,,
64,11.87,83.61,60.0,2,0,0,,,
65,11.98,82.88,62.9,2,1,0,,,
66,11.82,83.91,62.2,2,0,0,,,
67,11.67,85.1,60.0,1,0,0,,,
68,11.3,87.81,66.7,2,0,0,,,
69,11.71,84.6,63.9,2,0,0,,,
70,11.92,83.26,58.8,2,0,0,,,
71,11.92,83.27,54.8,2,0,0,,,
72,11.83,83.81,58.1,2,0,0,,,
73,11.86,83.67,57.6,2,0,0,,,
74,11.82,83.96,54.8,2,0,0,,,
75,11.74,84.52,61.8,2,0,0,,,
76,11.93,83.12,57.6,2,0,0,,,
77,11.77,84.29,56.3,2,0,0,,,
78,11.73,84.56,54.8,1,0,0,,,
79,11.48,86.43,60.0,2,0,0,,,
80,11.62,85.39,62.9,2,0,0,,,
81,11.72,84.66,58.8,2,0,0,,,
82,11.66,85.11,60.0,2,0,0,,,
83,11.74,84.52,58.1,2,0,0,,,
84,11.73,84.6,56.3,1,0,0,,,
85,11.71,84.75,61.1,2,0,0,,,
86,11.82,83.92,56.2,2,0,0,,,
87,11.72,84.68,54.8,2,0,0,,,
88,11.77,84.32,64.9,2,0,0,,,
89,11.81,84.03,57.6,3,1,0,,,
90,11.6,85.53,54.8,2,0,0,,,
91,11.74,84.54,58.8,2,0,0,,,
92,11.6,85.51,58.1,3,1,0,,,
93,11.7,84.81,61.1,3,1,0,,,
94,11.73,84.61,57.6,2,0,0,,,
95,11.7,84.85,62.2,3,1,1,0.803,HIGH,Person very close on your left
96,11.73,84.55,58.1,3,0,0,,,
97,11.7,84.86,53.3,3,0,0,,,
98,11.7,84.79,61.1,2,0,0,,,
99,11.7,84.85,56.3,3,1,0,,,
100,11.72,84.67,63.9,2,0,0,,,
101,11.78,84.25,57.6,2,0,0,,,
102,11.54,86.0,54.8,2,0,0,,,
103,11.85,83.72,57.6,2,0,0,,,
104,11.8,84.08,58.1,2,0,0,,,
105,11.71,84.79,56.3,2,0,0,,,
106,11.82,83.93,62.2,2,0,0,,,
107,11.8,84.14,59.4,3,1,1,0.757,HIGH,Person very close ahead
108,11.8,84.11,54.8,3,0,0,,,
109,11.61,85.46,63.2,3,0,0,,,
110,11.82,83.91,54.8,3,1,1,0.521,MEDIUM,Person on your left
111,11.76,84.39,56.7,3,1,1,0.765,HIGH,Person very close on your right
112,11.79,84.14,60.0,3,0,0,,,
113,11.72,84.68,53.3,3,0,0,,,
114,11.68,84.99,56.7,3,0,0,,,
115,11.71,84.75,62.2,3,0,0,,,
116,11.73,84.55,60.0,3,0,0,,,
117,11.76,84.39,60.0,3,0,0,,,
118,11.76,84.39,62.9,3,0,0,,,
119,11.84,83.81,56.3,3,0,0,,,
120,11.65,85.14,61.1,3,0,0,,,
121,11.8,84.09,61.1,3,0,0,,,
122,11.72,84.64,60.6,3,0,0,,,
123,11.84,83.86,53.3,3,0,0,,,
124,11.73,84.57,62.2,2,0,0,,,
125,11.63,85.34,58.8,2,0,0,,,
126,11.62,85.36,61.8,2,0,0,,,
127,11.1,89.46,62.9,2,0,0,,,
128,11.81,84.0,61.1,2,0,0,,,
129,11.73,84.65,61.8,2,0,0,,,
130,11.79,84.15,54.8,2,0,0,,,
