frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
262,11.77,84.28,56.3,1,0,0,,,
263,11.79,84.14,60.0,1,0,0,,,
264,11.76,84.33,62.9,1,0,0,,,
265,11.71,84.67,58.8,1,0,0,,,
266,11.55,85.94,58.8,1,0,0,,,
267,11.71,84.73,57.6,1,0,0,,,
268,11.72,84.66,62.2,1,0,0,,,
269,11.75,84.48,60.6,1,0,0,,,
270,11.71,84.73,54.8,1,0,0,,,
271,11.78,84.28,64.1,1,0,0,,,
272,11.73,84.55,56.3,2,1,0,,,
273,11.76,84.42,56.7,1,0,0,,,
274,11.8,84.04,62.2,1,0,0,,,
275,11.78,84.24,56.3,1,0,0,,,
276,11.76,84.34,59.4,1,0,0,,,
277,11.8,84.09,61.1,1,0,0,,,
278,11.48,86.44,60.0,2,0,0,,,
279,11.74,84.54,60.0,1,0,0,,,
280,11.68,84.95,61.8,1,0,0,,,
281,11.89,83.45,56.3,1,0,0,,,
282,10.72,92.64,61.1,1,0,0,,,
283,10.89,91.2,54.3,1,0,0,,,
284,11.34,87.52,58.3,1,0,0,,,
285,11.02,89.97,58.3,1,0,0,,,
286,11.26,88.14,57.1,1,0,0,,,
287,11.51,86.25,55.9,1,0,0,,,
288,11.49,86.34,57.6,2,0,0,,,
289,11.15,89.07,62.5,2,0,0,,,
290,11.43,86.67,59.5,2,0,0,,,
291,11.5,86.34,58.8,2,0,0,,,
292,11.44,86.77,59.5,2,0,0,,,
293,11.47,86.53,62.2,2,1,1,0.767,HIGH,Person very close ahead
294,11.45,86.65,61.1,2,0,0,,,
295,11.42,86.94,57.1,2,0,0,,,
296,11.45,86.65,58.3,2,0,0,,,
297,11.38,87.28,54.5,2,0,0,,,
298,11.51,86.2,58.8,2,0,0,,,
299,11.51,86.1,59.5,3,1,0,,,
300,11.46,86.62,58.8,3,0,0,,,
301,10.72,92.54,64.9,3,0,0,,,
302,11.46,86.5,54.5,3,0,0,,,
303,11.5,86.35,58.8,1,0,0,,,
304,11.51,86.24,57.1,2,0,0,,,
305,11.45,86.69,62.2,2,0,0,,,
306,11.49,86.35,54.5,1,0,0,,,
307,11.41,87.0,55.9,3,0,0,,,
308,11.44,86.68,56.3,2,0,0,,,
309,11.32,87.64,55.9,2,0,0,,,
310,11.47,86.53,53.1,1,0,0,,,
311,11.44,86.7,57.6,1,0,0,,,
312,10.92,90.74,60.5,1,0,0,,,
313,11.45,86.63,58.3,2,0,0,,,
314,11.45,86.67,61.1,1,0,0,,,
315,11.44,86.73,53.1,2,0,0,,,
316,11.46,86.59,58.8,1,0,0,,,
317,11.47,86.56,58.3,1,0,0,,,
318,11.42,86.94,58.8,1,0,0,,,
319,11.51,86.24,55.9,3,0,0,,,
