frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
248,11.53,86.08,56.3,2,0,0,,,
249,11.54,86.01,58.8,2,0,0,,,
250,11.52,86.19,62.2,2,0,0,,,
251,11.29,88.01,57.6,2,0,0,,,
252,11.57,85.84,63.2,2,0,0,,,
253,11.5,86.32,58.8,2,0,0,,,
254,11.56,85.89,56.3,1,0,0,,,
255,11.69,84.89,62.9,1,0,0,,,
256,11.58,85.76,54.8,3,1,1,0.651,MEDIUM,refrigerator ahead
257,11.55,86.0,57.6,2,1,1,0.735,HIGH,Person very close on your left
258,11.61,85.54,65.0,2,1,1,0.686,MEDIUM,Person very close on your left
259,11.69,84.96,56.7,3,2,1,0.614,MEDIUM,Person on your left
260,11.55,85.96,63.2,3,0,0,,,
261,10.84,88.65,57.9,3,0,0,,,
262,11.45,86.7,61.8,3,0,0,,,
263,11.49,86.45,57.6,3,0,0,,,
264,11.46,86.65,60.0,4,1,0,,,
265,11.61,85.54,53.3,4,0,0,,,
266,11.58,85.73,61.1,3,0,0,,,
267,11.63,85.4,57.6,3,0,0,,,
268,11.62,85.47,60.0,3,0,0,,,
269,11.57,85.87,58.8,3,0,0,,,
270,11.64,85.29,58.8,3,0,0,,,
271,11.61,85.51,60.6,3,0,0,,,
272,11.59,85.68,57.6,3,0,0,,,
273,11.69,84.91,61.1,3,0,0,,,
274,11.46,86.63,53.3,3,0,0,,,
275,10.92,90.99,65.7,4,0,0,,,
276,11.65,85.19,57.6,3,0,0,,,
277,11.6,85.61,61.8,3,0,0,,,
278,11.64,85.31,56.3,3,0,0,,,
279,11.66,85.19,61.1,3,0,0,,,
280,11.73,84.66,56.2,3,0,0,,,
281,11.66,85.2,58.8,3,0,0,,,
282,11.62,85.47,59.4,3,0,0,,,
283,11.58,85.75,63.2,3,0,0,,,
284,11.57,85.81,60.0,3,0,0,,,
285,11.51,86.23,56.2,3,0,0,,,
286,11.38,87.29,61.1,3,0,0,,,
287,11.64,85.34,64.9,3,0,0,,,
288,11.66,85.13,53.3,3,0,0,,,
289,11.61,85.55,60.0,3,0,0,,,
290,11.63,85.35,57.6,3,1,1,0.458,MEDIUM,chair on your right
291,11.65,85.24,58.8,3,0,0,,,
292,11.64,85.28,61.1,3,0,0,,,
293,11.65,85.18,59.4,2,0,0,,,
294,11.63,85.39,62.2,2,0,0,,,
295,11.57,85.81,57.6,2,0,0,,,
296,11.63,85.38,61.1,2,0,0,,,
297,11.42,86.94,58.8,2,0,0,,,
298,11.56,85.89,56.2,2,0,0,,,
299,11.59,85.68,61.1,2,0,0,,,
300,11.56,85.89,63.2,2,0,0,,,
301,11.65,85.23,58.8,2,0,0,,,
302,11.6,85.61,62.2,2,0,0,,,
303,11.66,85.14,56.3,2,0,0,,,
304,11.6,85.61,60.6,2,0,0,,,
305,11.62,85.47,60.0,2,0,0,,,
306,11.63,85.33,58.8,2,0,0,,,
307,11.51,86.23,61.1,2,0,0,,,
308,11.44,86.77,58.8,2,0,0,,,
309,11.53,86.11,60.0,2,0,0,,,
310,11.54,86.0,56.3,2,0,0,,,
311,11.57,85.83,62.2,2,0,0,,,
312,11.58,85.74,58.8,2,0,0,,,
313,11.63,85.35,59.4,2,0,0,,,
314,11.53,86.12,63.2,2,1,1,0.844,HIGH,Person very close on your left
315,11.56,85.95,60.0,2,0,0,,,
316,11.6,85.53,61.1,2,0,0,,,
317,11.51,86.28,61.1,3,1,0,,,
318,11.61,85.55,58.8,3,0,0,,,
319,11.62,85.45,61.8,3,0,0,,,
320,11.45,86.74,60.0,3,0,0,,,
321,11.49,86.47,62.2,3,1,1,0.584,MEDIUM,couch on your left
322,11.45,86.69,57.6,4,1,0,,,
323,11.57,85.82,57.6,2,0,0,,,
324,11.61,85.52,62.2,2,0,0,,,
325,11.61,85.55,58.8,2,0,0,,,
326,11.6,85.56,58.8,3,2,2,"0.893,0.676","HIGH,MEDIUM",Person very close ahead | Person very close on your left
327,11.57,85.86,62.2,3,0,0,,,
328,11.19,88.77,57.6,3,0,0,,,
329,11.52,86.19,62.2,3,0,0,,,
330,11.54,86.07,60.0,3,0,0,,,
331,11.45,86.78,56.3,3,0,0,,,
332,9.27,107.28,61.4,3,0,0,,,
333,11.46,86.62,58.8,4,1,1,0.719,HIGH,Person very close on your left
334,11.56,85.87,58.8,3,1,0,,,
335,11.48,86.48,62.9,4,1,0,,,
336,11.61,85.52,60.0,3,0,0,,,
337,11.5,86.32,60.0,4,0,0,,,
338,11.47,86.53,58.8,4,0,0,,,
339,11.56,85.92,63.2,3,0,0,,,
340,11.46,86.65,56.3,3,0,0,,,
341,11.26,88.22,64.9,3,0,0,,,
342,11.49,86.4,57.6,3,0,0,,,
343,11.41,87.01,62.2,4,0,0,,,
344,11.35,87.52,57.6,4,0,0,,,
345,11.49,86.45,58.8,4,0,0,,,
346,11.57,85.84,56.3,4,0,0,,,
347,11.54,86.09,58.8,4,0,0,,,
348,11.5,86.31,61.1,4,1,1,0.456,MEDIUM,chair on your right
349,11.54,86.03,58.1,4,1,1,0.877,HIGH,Person very close on your right
350,11.51,86.24,57.6,4,0,0,,,
351,11.24,88.37,60.5,4,0,0,,,
352,11.53,86.13,56.2,4,0,0,,,
353,11.55,85.99,58.8,4,0,0,,,
354,11.3,87.85,62.2,4,0,0,,,
355,11.57,85.84,61.1,4,0,0,,,
356,11.48,86.53,60.0,4,0,0,,,
357,11.72,84.74,56.3,4,0,0,,,
358,11.5,86.34,64.9,4,0,0,,,
359,11.6,85.62,58.8,3,0,0,,,
360,11.66,85.13,57.6,3,0,0,,,
361,11.64,85.32,62.2,3,0,0,,,
362,11.7,84.88,54.8,3,0,0,,,
363,11.72,84.74,58.8,4,1,1,0.578,MEDIUM,Person on your right
364,11.61,85.55,59.4,4,0,0,,,
365,11.7,84.87,60.0,3,0,0,,,
366,11.34,87.59,58.8,3,0,0,,,
367,10.81,91.94,58.3,3,0,0,,,
368,11.66,85.12,57.6,3,0,0,,,
369,11.64,85.33,61.1,4,2,1,0.799,HIGH,Person very close on your right
370,11.69,84.95,56.3,4,0,0,,,
371,11.7,84.87,62.9,4,0,0,,,
372,11.64,85.34,58.8,4,0,0,,,
373,11.66,85.18,61.1,4,0,0,,,
374,11.64,85.33,57.6,5,0,0,,,
375,11.65,85.25,61.1,4,0,0,,,
376,11.69,84.91,56.3,3,0,0,,,
377,11.5,86.35,62.9,3,0,0,,,
378,11.7,84.88,58.8,3,0,0,,,
379,11.63,85.42,61.1,3,0,0,,,
380,11.68,85.0,58.8,5,0,0,,,
381,11.62,85.46,60.0,4,0,0,,,
382,11.65,85.19,62.9,4,0,0,,,
383,11.62,85.47,58.8,4,0,0,,,
384,11.54,86.05,62.2,4,0,0,,,
385,11.62,85.46,56.3,4,0,0,,,
386,11.53,86.1,58.8,4,0,0,,,
387,11.46,86.67,61.1,4,0,0,,,
388,11.58,85.73,61.1,4,0,0,,,
389,11.37,87.33,57.6,4,0,0,,,
390,10.98,90.43,64.7,5,0,0,,,
391,10.46,95.01,59.0,5,0,0,,,
392,11.59,85.7,59.4,4,1,0,,,
393,11.56,85.92,60.0,5,2,0,,,
394,11.57,85.83,56.3,4,0,0,,,
395,11.58,85.73,60.0,3,1,1,0.869,HIGH,Person very close on your right
396,11.53,86.14,62.2,3,0,0,,,
397,11.48,86.5,56.2,3,0,0,,,
398,11.31,87.83,66.7,3,1,1,0.891,HIGH,Person very close ahead
399,11.58,85.77,57.6,2,0,0,,,
400,11.38,87.26,57.6,4,2,1,0.624,MEDIUM,Person very close on your left
401,11.34,87.55,61.1,3,1,1,0.773,HIGH,Person very close on your left
402,11.48,86.51,60.0,3,0,0,,,
403,11.57,85.85,58.1,3,0,0,,,
404,11.57,85.85,61.1,3,0,0,,,
405,11.53,86.16,56.3,3,0,0,,,
406,11.66,85.13,58.8,3,1,1,0.457,MEDIUM,chair on your right
407,11.55,85.97,58.8,3,0,0,,,
408,11.68,85.02,56.3,3,0,0,,,
409,11.58,85.73,65.0,4,0,0,,,
