frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
324,57.456,171.34,5.84,55.6,16.1,57.1,2
325,57.63,170.05,5.88,54.4,16.1,57.1,1
326,57.803,170.44,5.87,50.8,16.1,56.5,1
327,57.977,170.08,5.88,56.3,16.1,57.6,1
328,58.15,171.79,5.82,52.9,16.1,57.1,1
329,58.325,168.9,5.92,50.8,16.1,58.7,1
330,58.497,168.74,5.93,50.8,16.1,57.1,1
331,58.669,170.27,5.87,56.3,16.1,57.1,1
332,58.842,168.58,5.93,57.9,16.1,57.6,1
333,59.014,169.52,5.9,55.7,16.1,57.1,1
334,59.186,171.83,5.82,52.9,16.1,57.1,1
335,59.362,170.41,5.87,52.2,16.1,57.6,1
336,59.536,169.65,5.89,50.0,16.1,57.6,1
337,59.708,170.38,5.87,56.9,16.1,57.1,1
338,59.882,169.52,5.9,52.9,16.1,57.1,1
