frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
213,24.509,105.83,9.45,58.7,16.2,53.2,5,6,6,0,,
214,24.618,105.56,9.47,57.8,16.2,53.8,4,6,6,0,,
215,24.726,105.84,9.45,53.7,16.2,53.8,5,6,6,0,,
216,24.835,107.26,9.32,56.5,16.2,53.8,6,6,6,0,,
217,24.944,106.53,9.39,55.8,16.2,54.3,4,6,6,0,,
218,25.054,106.24,9.41,52.5,16.2,54.3,4,6,6,0,,
219,25.163,105.63,9.47,56.8,16.2,53.2,4,6,6,0,,
220,25.271,105.88,9.45,56.8,16.2,53.8,6,7,7,0,,
221,25.38,106.21,9.42,56.8,16.2,53.2,5,7,7,0,,
222,25.488,106.37,9.4,52.5,16.2,53.2,4,7,7,0,,
223,25.597,105.73,9.46,57.8,16.2,53.2,4,7,7,0,,
224,25.706,106.01,9.43,53.7,16.1,54.3,4,7,7,0,,
225,25.815,107.04,9.34,58.7,16.1,53.2,4,7,7,0,,
226,25.924,105.91,9.44,53.7,16.1,54.3,5,7,7,0,,
227,26.033,106.28,9.41,58.7,16.1,54.3,5,7,7,0,,
228,26.142,105.48,9.48,57.8,16.1,53.2,6,7,7,0,,
229,26.25,105.85,9.45,52.5,16.1,53.8,4,7,7,0,,
230,26.359,105.43,9.49,55.8,16.1,54.3,6,8,8,0,,
231,26.467,106.37,9.4,54.8,16.1,54.3,3,7,7,0,,
232,26.576,105.74,9.46,55.8,16.1,53.2,2,7,7,0,,
233,26.684,106.47,9.39,55.8,16.1,54.3,3,7,7,0,,
234,26.793,117.32,8.52,59.2,16.2,53.2,4,7,7,1,person on the right,cooldown
235,26.914,106.54,9.39,58.7,16.2,54.3,3,7,7,0,,
236,27.023,106.49,9.39,57.8,16.2,53.8,3,7,7,0,,
237,27.133,106.24,9.41,53.5,16.2,54.9,2,7,7,0,,
238,27.242,105.79,9.45,57.8,16.2,54.3,2,7,7,0,,
