frame,fps,latency_ms,cpu_percent,detections,raw_messages,context_messages,decision_messages,audio_spoken,final_messages
43,11.62,85.03,58.8,1,1,0,0,1,
44,11.61,85.03,57.1,1,1,0,0,1,
45,11.63,85.3,61.8,1,1,0,0,1,
46,11.56,85.69,61.1,1,1,0,0,1,
47,11.65,84.8,56.3,1,1,0,0,1,
48,11.63,84.92,62.2,1,1,0,0,1,
49,11.57,85.65,54.8,1,1,0,0,1,
50,11.72,84.52,57.6,1,1,0,0,1,
51,11.7,84.47,54.8,1,1,0,0,1,
52,11.66,84.76,62.2,1,1,0,0,1,
53,11.68,84.85,56.3,1,1,0,0,1,
54,11.71,84.56,63.2,1,1,0,0,1,
55,11.74,84.22,58.8,1,1,0,0,1,
56,11.59,85.2,62.2,1,1,0,0,1,
57,11.53,85.49,56.3,1,1,0,0,1,
58,11.49,86.42,60.0,1,1,0,0,1,
59,11.71,84.61,62.9,1,1,0,0,1,
60,11.57,85.13,55.9,1,1,0,0,1,
61,11.7,84.46,61.8,1,1,0,0,1,
62,11.59,85.33,55.9,1,1,0,0,1,
63,11.73,84.5,60.6,1,1,0,0,1,
64,11.61,84.9,57.6,1,1,0,0,1,
65,11.63,85.17,56.3,1,1,0,0,1,
66,11.63,85.14,56.3,1,1,0,0,1,
67,11.7,84.69,58.8,1,1,0,0,1,
68,11.64,84.7,56.3,1,1,0,0,1,
69,11.6,85.52,61.1,1,1,0,0,1,
70,11.53,85.85,61.1,1,1,0,0,1,
71,11.66,84.95,58.8,1,1,0,0,1,
72,11.69,84.34,60.0,1,1,0,0,1,
73,11.6,85.02,60.0,1,1,0,0,1,
74,11.67,84.86,61.1,1,1,0,0,1,
75,11.67,84.89,57.6,1,1,0,0,1,
76,11.68,84.5,62.2,1,1,0,0,1,
77,11.61,85.12,58.8,1,1,0,0,1,
78,11.59,85.52,56.3,1,1,0,0,1,
79,10.58,93.77,62.9,1,1,0,0,1,
80,11.67,84.76,58.8,1,1,0,0,1,
81,11.37,87.12,61.1,1,1,0,0,1,
82,11.56,85.74,61.1,1,1,0,0,1,
83,11.66,84.96,54.8,1,1,0,0,1,
84,11.61,84.92,57.6,1,1,0,0,1,
85,11.75,84.35,57.6,1,1,0,0,1,
86,11.66,84.89,61.1,1,1,0,0,1,
87,11.76,84.24,57.6,1,1,0,0,1,
88,11.65,84.67,58.8,1,1,0,0,1,
89,11.76,84.25,57.6,1,1,0,0,1,
90,11.74,84.31,57.6,1,1,0,0,1,
91,11.52,86.02,60.0,1,1,0,0,1,
92,11.67,84.47,60.0,1,1,0,0,1,
93,11.45,86.65,56.3,1,1,0,0,1,
94,11.67,84.89,58.8,1,1,0,0,1,
95,11.75,84.34,57.6,1,1,0,0,1,
96,11.72,84.16,61.1,1,1,0,0,1,
97,11.69,84.75,57.6,1,1,0,0,1,
98,11.72,84.47,58.8,1,1,0,0,1,
99,11.8,84.0,62.2,1,1,0,0,1,
100,11.73,84.18,58.8,1,1,0,0,1,
101,11.73,84.43,56.3,1,1,0,0,1,
102,11.73,84.37,61.1,1,1,0,0,1,
103,11.77,84.12,57.6,1,1,0,0,1,
104,11.58,85.13,57.6,1,1,0,0,1,
105,11.59,85.39,57.6,1,1,0,0,1,
106,11.73,84.27,61.1,1,1,0,0,1,
107,11.73,84.34,58.8,1,1,0,0,1,
108,11.62,84.69,61.1,1,1,0,0,1,
109,11.71,84.41,58.8,1,1,0,0,1,
110,11.69,84.64,55.9,1,1,0,0,1,
111,11.75,84.38,61.8,1,1,0,0,1,
112,11.78,83.67,55.9,1,1,0,0,1,
113,11.7,84.67,58.8,1,1,0,0,1,
114,11.75,84.32,59.4,1,1,0,0,1,
115,11.78,84.13,58.8,1,1,1,1,1,Person very close ahead
116,11.44,86.28,59.5,1,1,0,0,1,
117,11.67,85.02,57.6,1,1,0,0,1,
118,11.78,84.07,57.6,1,1,0,0,1,
119,11.82,83.81,58.1,1,1,0,0,1,
120,11.68,84.44,59.5,1,1,0,0,1,
121,11.71,84.59,57.6,1,1,0,0,1,
122,11.8,83.91,59.4,1,1,0,0,1,
123,11.69,84.8,62.2,1,1,0,0,1,
124,11.73,84.04,57.6,1,1,0,0,1,
