frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
216,24.846,105.53,9.48,55.8,16.1,52.7,1,1,1,0,,
217,24.954,106.5,9.39,57.8,16.1,53.2,1,1,1,0,,
218,25.063,105.87,9.45,57.8,16.1,53.8,1,1,1,0,,
219,25.172,107.63,9.29,55.8,16.1,54.3,1,1,1,0,,
220,25.282,105.39,9.49,55.8,16.1,53.2,1,1,1,0,,
221,25.39,106.63,9.38,55.8,16.1,52.7,1,1,1,0,,
222,25.499,105.75,9.46,58.7,16.1,53.2,1,1,1,0,,
223,25.608,105.85,9.45,55.8,16.1,52.7,1,1,1,0,,
224,25.716,106.14,9.42,52.5,16.1,53.2,1,1,1,0,,
225,25.825,106.26,9.41,56.8,16.1,53.8,1,1,1,0,,
226,25.934,105.83,9.45,56.8,16.1,53.2,1,1,1,0,,
227,26.042,105.78,9.45,56.8,16.1,53.8,1,1,1,0,,
228,26.151,107.13,9.33,52.4,16.1,53.8,2,2,2,1,banana ahead,new_object
229,26.261,105.16,9.51,54.8,16.1,54.3,2,2,2,0,,
230,26.369,104.73,9.55,54.8,16.1,53.8,2,2,2,0,,
231,26.476,105.69,9.46,57.1,16.1,52.1,2,2,2,0,,
232,26.584,105.64,9.47,52.5,16.1,53.8,2,2,2,0,,
233,26.693,105.82,9.45,53.7,16.1,53.8,2,2,2,0,,
234,26.801,111.33,8.98,60.9,16.1,53.2,2,2,2,0,,
235,26.915,105.35,9.49,55.8,16.1,53.8,2,2,2,0,,
236,27.023,105.74,9.46,56.8,16.1,53.8,2,2,2,0,,
237,27.132,107.72,9.28,53.7,16.1,54.9,3,3,3,1,remote ahead,new_object
238,27.242,106.06,9.43,52.5,16.1,53.2,3,3,3,1,banana on the left,position_changed
239,27.351,105.63,9.47,56.8,16.1,54.3,2,3,3,0,,
240,27.459,105.49,9.48,57.8,16.1,54.3,1,3,3,1,person ahead,cooldown
