frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,active_tracks,track_ids
134,16.157,107.47,9.31,53.5,16.3,52.1,2,2,"[1, 7]"
135,16.267,107.87,9.27,54.5,16.3,51.6,2,2,"[1, 7]"
136,16.377,108.44,9.22,56.5,16.3,52.1,2,2,"[1, 7]"
137,16.489,108.28,9.24,56.5,16.3,52.1,2,2,"[1, 7]"
138,16.6,110.99,9.01,56.8,16.3,51.6,2,2,"[1, 7]"
139,16.713,108.38,9.23,56.5,16.3,51.0,1,2,"[1, 7]"
140,16.824,108.33,9.23,57.4,16.3,51.6,2,2,"[1, 7]"
141,16.936,107.98,9.26,52.4,16.3,52.1,2,2,"[1, 7]"
142,17.046,107.33,9.32,53.7,16.3,51.6,1,2,"[1, 7]"
143,17.156,107.4,9.31,56.5,16.3,52.7,1,2,"[1, 7]"
144,17.267,107.26,9.32,50.0,16.3,51.6,1,2,"[1, 7]"
145,17.377,107.36,9.31,54.5,16.3,52.1,1,2,"[1, 7]"
146,17.487,107.48,9.3,55.8,16.2,52.1,1,2,"[1, 7]"
147,17.597,108.59,9.21,54.5,16.2,51.6,1,2,"[1, 7]"
148,17.708,107.65,9.29,56.5,16.2,51.6,1,2,"[1, 7]"
149,17.819,107.11,9.34,52.4,16.2,52.1,1,2,"[1, 7]"
150,17.928,107.72,9.28,55.8,16.2,52.1,1,2,"[1, 7]"
151,18.039,108.85,9.19,53.5,16.2,51.0,1,2,"[1, 7]"
152,18.151,107.63,9.29,54.5,16.2,51.6,1,1,[1]
153,18.261,107.62,9.29,55.6,16.2,52.7,2,2,"[1, 8]"
154,18.371,107.83,9.27,51.2,16.2,51.6,2,2,"[1, 8]"
155,18.482,107.84,9.27,57.8,16.2,52.7,2,2,"[1, 8]"
156,18.592,110.63,9.04,56.5,16.2,52.1,2,3,"[1, 8, 9]"
157,18.706,107.54,9.3,54.5,16.2,52.1,3,4,"[1, 8, 9, 10]"
158,18.816,107.94,9.26,53.5,16.2,52.1,2,4,"[1, 8, 9, 10]"
159,18.927,107.65,9.29,53.5,16.2,51.6,2,4,"[1, 8, 9, 10]"
160,19.037,107.91,9.27,56.8,16.2,52.7,3,4,"[1, 8, 9, 10]"
161,19.148,108.57,9.21,54.5,16.2,52.1,2,4,"[1, 8, 9, 10]"
162,19.259,108.81,9.19,53.5,16.2,52.7,2,4,"[1, 8, 9, 10]"
163,19.371,108.34,9.23,54.5,16.2,51.6,3,4,"[1, 8, 9, 10]"
164,19.482,107.76,9.28,55.6,16.2,52.1,2,4,"[1, 8, 9, 10]"
165,19.592,109.45,9.14,54.5,16.2,52.7,2,4,"[1, 8, 9, 10]"
166,19.705,107.98,9.26,52.4,16.2,52.7,1,4,"[1, 8, 9, 10]"
167,19.815,107.67,9.29,55.6,16.2,52.7,1,4,"[1, 8, 9, 10]"
168,19.926,108.52,9.21,55.6,16.2,52.7,2,4,"[1, 8, 9, 11]"
169,20.037,107.78,9.28,55.6,16.2,52.1,1,4,"[1, 8, 9, 11]"
170,20.147,108.69,9.2,54.5,16.2,52.7,2,4,"[1, 8, 9, 11]"
171,20.259,107.82,9.27,54.5,16.2,53.2,1,4,"[1, 8, 9, 11]"
172,20.369,108.3,9.23,56.5,16.2,52.7,2,4,"[1, 8, 9, 11]"
173,20.48,107.86,9.27,55.8,16.1,53.2,2,4,"[1, 8, 9, 11]"
174,20.591,118.01,8.47,56.2,16.2,52.7,1,3,"[1, 8, 11]"
175,20.713,108.1,9.25,56.5,16.2,52.1,2,3,"[1, 8, 11]"
176,20.824,108.33,9.23,55.6,16.2,52.1,1,3,"[1, 8, 11]"
177,20.935,108.58,9.21,54.5,16.2,52.7,1,3,"[1, 8, 11]"
178,21.046,107.97,9.26,56.5,16.2,52.7,1,3,"[1, 8, 11]"
179,21.157,107.95,9.26,57.8,16.2,52.1,2,3,"[1, 8, 11]"
180,21.267,107.87,9.27,53.5,16.2,52.1,1,3,"[1, 8, 11]"
181,21.378,108.53,9.21,50.0,16.2,52.7,1,2,"[1, 11]"
182,21.489,108.4,9.23,53.5,16.2,52.1,1,2,"[1, 11]"
183,21.6,111.29,8.99,61.2,16.2,52.7,1,2,"[1, 11]"
184,21.716,108.38,9.23,53.3,16.1,52.7,1,2,"[1, 11]"
185,21.827,107.79,9.28,55.8,16.1,52.7,1,2,"[1, 11]"
186,21.937,108.26,9.24,55.6,16.1,53.2,1,2,"[1, 11]"
187,22.048,108.41,9.22,55.6,16.1,52.7,1,2,"[1, 11]"
188,22.159,107.94,9.26,54.5,16.1,52.1,2,3,"[1, 11, 12]"
189,22.27,107.37,9.31,53.5,16.1,53.2,1,3,"[1, 11, 12]"
190,22.38,107.69,9.29,56.5,16.1,53.2,1,2,"[1, 12]"
