frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
133,15.624,106.3,9.41,56.8,16.2,51.0,0,0,0,0,,
134,15.733,104.45,9.57,51.3,16.2,51.6,0,0,0,0,,
135,15.841,104.78,9.54,56.8,16.2,52.1,0,0,0,0,,
136,15.948,104.56,9.56,56.1,16.2,52.1,0,0,0,0,,
137,16.055,104.77,9.55,56.8,16.2,51.6,0,0,0,0,,
138,16.163,104.3,9.59,55.8,16.2,52.1,0,0,0,0,,
139,16.27,104.48,9.57,57.1,16.2,52.1,0,0,0,0,,
140,16.377,104.6,9.56,58.7,16.2,52.1,0,0,0,0,,
141,16.484,105.09,9.52,55.8,16.2,51.6,0,0,0,0,,
142,16.592,105.6,9.47,56.1,16.2,51.6,0,0,0,0,,
143,16.702,104.38,9.58,52.5,16.2,52.7,0,0,0,0,,
144,16.809,104.73,9.55,58.7,16.2,51.6,0,0,0,0,,
145,16.916,111.45,8.97,59.1,16.2,52.1,0,0,0,0,,
146,17.03,104.44,9.58,59.1,16.3,52.1,0,0,0,0,,
147,17.138,104.38,9.58,50.0,16.3,52.1,0,0,0,0,,
148,17.245,104.67,9.55,55.8,16.3,52.1,0,0,0,0,,
149,17.352,104.25,9.59,54.8,16.3,52.7,0,0,0,0,,
150,17.459,105.3,9.5,55.0,16.2,52.1,1,1,1,0,,
151,17.567,107.46,9.31,55.8,16.2,52.1,0,1,1,0,,
152,17.677,105.64,9.47,57.8,16.2,52.7,0,1,1,0,,
153,17.786,105.2,9.51,52.5,16.2,52.1,1,1,1,0,,
154,17.893,107.75,9.28,56.8,16.2,52.7,1,1,1,0,,
155,18.004,104.85,9.54,56.1,16.2,52.7,0,1,1,0,,
156,18.111,104.62,9.56,54.8,16.2,51.6,0,1,1,0,,
157,18.219,104.68,9.55,58.7,16.2,52.7,0,1,1,0,,
158,18.326,104.8,9.54,58.1,16.2,52.7,0,1,1,0,,
159,18.434,105.15,9.51,54.8,16.2,53.2,0,1,1,0,,
160,18.541,104.48,9.57,53.7,16.2,53.2,0,1,1,0,,
161,18.649,107.08,9.34,57.8,16.2,52.1,0,1,1,0,,
162,18.759,104.72,9.55,59.1,16.2,52.1,0,1,1,0,,
163,18.867,104.87,9.54,52.5,16.2,52.1,0,1,1,0,,
164,18.975,104.58,9.56,56.8,16.2,52.1,0,1,1,0,,
165,19.082,104.9,9.53,56.8,16.2,52.7,0,0,0,0,,
166,19.189,104.81,9.54,53.7,16.2,51.6,0,0,0,0,,
167,19.297,104.76,9.55,57.1,16.2,52.7,0,0,0,0,,
168,19.404,104.93,9.53,54.8,16.2,53.2,0,0,0,0,,
169,19.512,105.5,9.48,55.8,16.2,52.7,0,0,0,0,,
170,19.62,106.62,9.38,55.8,16.2,53.2,0,0,0,0,,
171,19.73,105.62,9.47,60.0,16.1,52.7,0,0,0,0,,
172,19.838,105.08,9.52,56.8,16.1,52.1,0,0,0,0,,
173,19.946,105.17,9.51,57.8,16.1,53.2,0,0,0,0,,
174,20.054,105.23,9.5,54.8,16.1,53.2,1,1,1,0,,
175,20.162,104.94,9.53,51.3,16.2,52.7,1,1,1,0,,
176,20.269,105.09,9.52,56.1,16.2,53.2,0,1,1,0,,
177,20.377,104.76,9.55,57.8,16.2,52.7,1,1,1,0,,
178,20.484,104.87,9.54,53.7,16.1,53.2,0,1,1,0,,
179,20.592,106.09,9.43,55.8,16.1,53.8,1,1,1,0,,
180,20.701,104.73,9.55,58.1,16.1,52.7,0,1,1,0,,
181,20.808,105.84,9.45,55.8,16.1,52.7,1,1,1,0,,
182,20.917,105.43,9.49,54.8,16.1,52.7,1,1,1,0,,
183,21.025,104.72,9.55,55.8,16.1,51.6,0,1,1,0,,
184,21.132,104.97,9.53,58.1,16.1,53.2,1,1,1,0,,
185,21.24,104.44,9.57,56.8,16.1,51.6,0,1,1,0,,
186,21.347,104.57,9.56,51.3,16.1,52.7,0,1,1,0,,
187,21.454,104.73,9.55,59.1,16.1,53.2,0,1,1,0,,
188,21.562,105.46,9.48,58.7,16.1,52.1,0,1,1,0,,
189,21.764,105.13,9.51,29.6,16.1,52.1,0,1,1,0,,
190,21.872,106.28,9.41,55.0,16.1,52.7,0,1,1,0,,
191,21.981,107.99,9.26,63.8,16.1,51.6,1,1,1,0,,
192,22.092,104.6,9.56,53.7,16.1,53.2,0,1,1,0,,
193,22.199,104.25,9.59,55.0,16.1,52.7,0,1,1,0,,
194,22.306,104.55,9.57,57.8,16.1,52.7,0,1,1,0,,
195,22.414,105.0,9.52,55.8,16.1,52.7,0,1,1,0,,
196,22.521,105.22,9.5,55.8,16.1,52.7,1,1,1,0,,
197,22.629,107.77,9.28,59.1,16.1,52.7,0,1,1,0,,
198,22.74,105.97,9.44,54.8,16.1,52.7,1,1,1,0,,
199,22.848,105.55,9.47,55.8,16.1,52.1,0,1,1,0,,
200,22.957,107.5,9.3,51.2,16.1,53.2,0,1,1,0,,
201,23.067,105.76,9.46,60.0,16.1,53.2,0,1,1,0,,
202,23.176,105.43,9.49,56.8,16.1,51.6,0,1,1,0,,
203,23.284,105.44,9.48,54.8,16.1,53.8,1,1,1,0,,
204,23.392,105.08,9.52,54.8,16.1,53.2,0,1,1,0,,
205,23.5,105.06,9.52,56.1,16.1,53.2,0,1,1,0,,
206,23.608,106.98,9.35,52.5,16.1,53.2,0,1,1,0,,
207,23.717,105.45,9.48,53.7,16.1,53.2,0,1,1,0,,
208,23.826,105.1,9.51,57.8,16.1,52.7,0,1,1,0,,
209,23.933,105.13,9.51,54.8,16.1,53.8,0,1,1,0,,
210,24.041,106.0,9.43,55.8,16.1,53.2,1,1,1,0,,
211,24.151,105.77,9.45,57.8,16.1,53.8,1,1,1,0,,
212,24.259,105.81,9.45,55.8,16.1,53.8,0,1,1,0,,
213,24.368,105.18,9.51,56.1,16.1,53.2,1,1,1,0,,
214,24.476,106.25,9.41,54.8,16.1,53.2,1,1,1,0,,
215,24.585,105.99,9.43,54.8,16.1,53.8,0,1,1,0,,
216,24.694,105.22,9.5,55.8,16.1,53.2,1,1,1,0,,
