frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
238,29.069,113.31,8.83,45.2,16.0,53.8,1
239,29.185,114.45,8.74,52.1,16.0,53.2,1
240,29.302,113.43,8.82,54.0,16.0,53.8,1
241,29.419,113.54,8.81,47.6,16.0,54.3,1
242,29.535,113.24,8.83,47.7,16.0,54.3,1
243,29.651,113.82,8.79,48.9,16.0,53.8,1
244,29.768,113.97,8.77,54.0,16.0,54.3,1
245,29.884,113.82,8.79,53.2,16.0,53.8,1
246,30.001,114.3,8.75,46.5,16.0,53.8,1
247,30.118,115.5,8.66,52.1,16.0,53.2,1
248,30.237,114.54,8.73,56.4,16.0,54.3,1
249,30.355,114.18,8.76,50.0,16.0,53.8,1
250,30.472,114.4,8.74,47.8,16.0,53.8,1
251,30.589,114.48,8.74,53.2,16.0,54.3,1
252,30.706,114.33,8.75,53.1,16.0,53.8,1
253,30.823,114.12,8.76,51.1,16.0,54.3,1
254,30.94,114.02,8.77,45.2,16.0,54.3,1
255,31.057,114.28,8.75,47.7,16.0,53.8,1
256,31.174,115.56,8.65,53.1,15.9,54.3,1
257,31.292,128.21,7.8,51.9,16.0,54.3,1
258,31.423,113.89,8.78,45.0,16.0,54.9,1
259,31.539,125.89,7.94,51.0,16.0,54.9,1
260,31.668,113.56,8.81,46.5,16.0,54.3,1
261,31.784,115.07,8.69,53.2,16.0,54.9,1
262,31.902,113.8,8.79,51.1,16.0,54.3,1
263,32.019,113.9,8.78,45.2,16.0,53.8,1
264,32.135,114.88,8.7,52.2,16.0,54.9,1
265,32.253,113.89,8.78,50.0,16.0,54.9,1
266,32.37,113.98,8.77,54.0,16.0,54.9,1
267,32.486,113.76,8.79,50.0,16.0,53.8,1
268,32.603,115.46,8.66,50.0,16.0,53.8,1
269,32.721,113.78,8.79,48.9,16.0,54.9,1
270,32.838,113.98,8.77,51.1,16.0,54.3,1
271,32.954,113.55,8.81,51.1,16.0,54.3,1
272,33.071,114.01,8.77,50.0,16.0,53.2,1
273,33.187,116.42,8.59,50.0,16.0,54.9,1
274,33.307,113.6,8.8,48.8,16.0,53.8,1
275,33.423,113.6,8.8,43.9,16.0,54.3,1
276,33.539,113.4,8.82,50.0,16.0,54.3,1
277,33.655,113.76,8.79,48.9,16.0,54.3,1
278,33.772,113.79,8.79,50.0,16.0,54.9,1
279,33.888,113.81,8.79,53.1,16.0,53.8,1
280,34.005,114.01,8.77,48.9,16.0,54.3,1
281,34.122,116.99,8.55,51.1,16.0,53.8,1
282,34.242,113.84,8.78,53.2,16.0,54.3,1
283,34.358,113.61,8.8,53.1,16.0,53.8,1
284,34.474,114.04,8.77,46.5,16.0,54.9,1
285,34.591,113.87,8.78,50.0,16.0,54.9,1
286,34.708,113.58,8.8,50.0,16.0,54.3,1
287,34.824,114.03,8.77,50.0,16.0,54.3,1
288,34.941,113.59,8.8,50.0,16.0,54.9,1
289,35.057,113.97,8.77,53.2,16.0,54.9,1
290,35.174,115.3,8.67,52.1,16.0,54.9,1
291,35.292,114.6,8.73,53.1,16.0,54.9,1
292,35.409,114.0,8.77,53.2,16.0,54.9,1
293,35.526,113.81,8.79,54.0,16.0,54.9,1
294,35.643,113.79,8.79,45.2,16.0,54.3,1
295,35.759,113.67,8.8,50.0,16.0,54.9,1
296,35.876,114.09,8.76,52.1,16.0,54.3,1
297,35.992,113.76,8.79,50.0,16.0,54.3,1
298,36.109,113.01,8.85,52.1,16.0,54.9,1
299,36.225,115.82,8.63,48.9,16.0,53.2,1
300,36.343,114.17,8.76,50.0,16.0,54.3,1
301,36.46,114.67,8.72,51.1,16.0,54.9,1
302,36.578,119.09,8.4,57.1,16.0,54.3,1
303,36.7,113.62,8.8,50.0,16.0,54.9,1
304,36.816,113.75,8.79,50.0,16.0,54.3,1
305,36.932,113.93,8.78,51.1,16.0,54.9,1
306,37.049,114.08,8.77,53.1,16.0,54.3,1
307,37.166,115.16,8.68,51.1,16.0,54.3,1
308,37.284,113.9,8.78,43.9,16.0,54.9,1
