frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
182,1778951568.46,11.6,85.58,61.1,1,person
183,1778951568.55,11.75,84.51,60.0,1,person
184,1778951568.63,11.62,85.49,60.0,1,person
185,1778951568.72,11.58,85.73,56.3,1,person
186,1778951568.81,11.71,84.75,61.1,1,person
187,1778951568.89,11.67,85.08,59.4,1,person
188,1778951568.98,11.61,85.48,61.1,1,person
189,1778951569.06,11.49,86.44,58.3,1,person
190,1778951569.15,11.69,84.94,61.8,1,person
191,1778951569.24,11.64,85.3,58.8,1,person
192,1778951569.32,11.78,84.3,58.8,1,person
193,1778951569.41,11.76,84.44,56.3,1,person
194,1778951569.49,11.58,85.73,61.1,1,person
195,1778951569.58,11.74,84.59,56.2,1,person
196,1778951569.67,11.66,85.13,61.1,1,person
197,1778951569.75,11.72,84.72,59.4,1,person
198,1778951569.84,11.66,85.13,60.0,1,person
199,1778951569.92,11.63,85.39,57.6,1,person
200,1778951570.01,11.52,86.21,60.0,1,person
201,1778951570.1,11.73,84.62,58.8,1,person
202,1778951570.18,11.57,85.8,62.2,1,person
203,1778951570.27,11.77,84.33,54.8,1,person
204,1778951570.35,11.89,83.51,56.2,1,person
205,1778951570.44,11.61,85.55,61.8,1,person
206,1778951570.52,11.73,84.66,57.6,1,person
207,1778951570.61,11.65,85.19,61.1,1,person
208,1778951570.69,11.79,84.22,56.3,1,person
209,1778951570.78,11.79,84.24,56.3,1,person
210,1778951570.87,11.74,84.59,63.9,1,person
211,1778951570.95,11.78,84.18,58.8,1,person
212,1778951571.04,11.45,86.76,54.8,1,person
213,1778951571.12,11.77,84.39,58.8,1,person
214,1778951571.21,11.6,85.57,62.2,1,person
215,1778951571.29,11.84,83.84,58.8,1,person
216,1778951571.38,11.08,89.67,66.7,1,person
217,1778951571.47,11.86,83.67,57.6,1,person
218,1778951571.55,11.76,84.43,61.8,1,person
219,1778951571.64,11.8,84.14,57.6,1,person
220,1778951571.73,11.67,85.1,61.1,1,person
221,1778951571.81,11.83,83.93,60.0,1,person
222,1778951571.9,11.78,84.3,59.4,1,person
223,1778951571.98,11.73,84.63,62.2,1,person
224,1778951572.07,11.59,85.67,61.1,1,person
225,1778951572.15,11.66,85.14,58.8,1,person
226,1778951572.24,11.84,83.85,58.8,1,person
227,1778951572.32,11.78,84.25,58.1,1,person
228,1778951572.41,11.5,86.24,62.2,1,person
229,1778951572.5,11.71,84.82,56.2,1,person
230,1778951572.58,11.85,83.81,60.0,1,person
231,1778951572.67,11.79,84.19,60.6,1,person
232,1778951572.75,11.73,84.6,58.8,1,person
233,1778951572.84,11.72,84.73,58.8,1,person
234,1778951572.92,11.57,85.79,57.6,1,person
235,1778951573.01,11.44,86.83,63.2,1,person
236,1778951573.1,11.65,85.26,58.8,1,person
237,1778951573.18,11.71,84.82,60.0,1,person
238,1778951573.27,11.7,84.86,60.0,1,person
239,1778951573.35,11.73,84.64,60.6,1,person
240,1778951573.44,11.76,84.39,57.6,1,person
241,1778951573.52,11.72,84.69,61.1,1,person
242,1778951573.61,11.78,84.29,58.8,1,person
243,1778951573.69,11.77,84.34,57.6,1,person
244,1778951573.78,11.62,85.44,58.8,1,person
245,1778951573.87,11.74,84.53,61.8,1,person
246,1778951573.95,11.77,84.34,54.8,1,person
247,1778951574.04,11.6,85.57,63.2,1,person
248,1778951574.12,11.71,84.82,57.6,1,person
249,1778951574.21,11.74,84.55,63.2,1,person
250,1778951574.29,11.78,84.26,59.4,1,person
251,1778951574.38,11.78,84.28,57.6,1,person
252,1778951574.47,11.69,84.94,63.2,1,person
253,1778951574.55,11.78,84.26,57.6,1,person
254,1778951574.64,11.79,84.22,59.4,1,person
255,1778951574.72,11.72,84.71,63.2,1,person
256,1778951574.81,11.73,84.64,58.8,1,person
257,1778951574.89,11.76,84.42,57.6,1,person
258,1778951574.98,11.65,85.24,61.1,1,person
259,1778951575.06,11.5,86.31,61.1,1,person
260,1778951575.15,11.67,85.06,62.2,1,person
261,1778951575.24,11.69,84.95,60.0,1,person
262,1778951575.32,11.82,84.01,61.8,1,person
263,1778951575.41,11.78,84.23,56.3,1,person
264,1778951575.49,11.75,84.52,56.3,1,person
265,1778951575.58,11.74,84.56,63.2,1,person
266,1778951575.66,11.66,85.12,58.8,1,person
267,1778951575.75,11.68,85.03,64.9,1,person
268,1778951575.83,11.7,84.9,58.8,1,person
269,1778951575.92,11.57,85.82,61.1,1,person
270,1778951576.01,11.57,85.8,58.8,1,person
271,1778951576.09,11.72,84.71,61.1,1,person
272,1778951576.18,11.72,84.7,58.8,1,person
273,1778951576.27,11.65,85.26,63.9,1,person
274,1778951576.36,11.04,89.97,64.9,1,person
275,1778951576.44,11.7,84.87,60.6,1,person
276,1778951576.53,11.71,84.82,60.0,1,person
277,1778951576.61,11.68,84.98,62.2,1,person
278,1778951576.7,11.75,84.44,58.8,1,person
279,1778951576.78,11.72,84.72,60.0,1,person
280,1778951576.87,11.67,85.12,60.0,1,person
281,1778951576.95,11.87,83.68,59.4,1,person
282,1778951577.04,11.42,86.99,61.1,1,person
283,1778951577.13,11.73,84.62,56.3,1,person
284,1778951577.21,11.74,84.59,60.0,1,person
285,1778951577.3,11.77,84.36,58.8,1,person
286,1778951577.39,11.53,86.12,60.6,1,person
287,1778951577.47,11.72,84.67,60.0,1,person
288,1778951577.56,11.65,85.22,63.2,1,person
289,1778951577.64,11.73,84.6,60.0,1,person
290,1778951577.73,11.79,84.17,54.8,1,person
291,1778951577.81,11.66,85.14,62.2,1,person
292,1778951577.9,11.66,85.14,60.0,1,person
293,1778951577.99,11.7,84.88,63.9,1,person
294,1778951578.07,11.54,86.04,57.6,1,person
295,1778951578.16,11.7,84.85,58.8,1,person
296,1778951578.24,11.74,84.54,56.2,1,person
297,1778951578.33,11.72,84.67,62.2,1,person
298,1778951578.41,11.76,84.44,60.0,1,person
299,1778951578.5,11.73,84.66,56.2,1,person
300,1778951578.59,11.65,85.24,63.9,1,person
301,1778951578.67,11.74,84.56,57.6,1,person
302,1778951578.76,11.62,85.44,62.2,1,person
303,1778951578.84,11.72,84.71,58.8,1,person
304,1778951578.93,11.7,84.84,60.0,1,person
305,1778951579.01,11.6,85.58,60.0,1,person
306,1778951579.1,11.81,84.07,62.9,1,person
307,1778951579.19,11.57,85.83,62.2,1,person
308,1778951579.27,11.74,84.56,58.8,1,person
309,1778951579.36,11.62,85.48,62.2,1,person
310,1778951579.44,11.7,84.86,57.6,1,person
311,1778951579.53,11.6,85.56,62.2,1,person
312,1778951579.62,11.75,84.46,56.3,1,person
313,1778951579.7,11.62,85.47,62.2,1,person
314,1778951579.79,11.68,85.04,57.6,1,person
315,1778951579.87,11.58,85.73,63.2,1,person
316,1778951579.96,11.77,84.36,59.4,1,person
317,1778951580.05,11.51,86.26,62.2,1,person
318,1778951580.13,11.78,84.3,54.8,1,person
319,1778951580.22,11.66,85.17,63.2,1,person
320,1778951580.3,11.71,84.76,57.6,1,person
321,1778951580.39,11.57,85.83,63.2,1,person
322,1778951580.48,11.64,85.32,56.3,1,person
323,1778951580.56,11.75,84.52,60.0,1,person
324,1778951580.65,11.69,84.92,61.8,1,person
325,1778951580.73,11.61,85.56,62.2,1,person
326,1778951580.82,11.69,84.92,58.8,1,person
327,1778951580.91,11.69,84.91,62.2,1,person
328,1778951580.99,11.52,86.15,58.8,1,person
329,1778951581.08,11.63,85.26,60.0,1,person
330,1778951581.16,11.73,84.64,57.6,1,person
331,1778951581.25,11.62,85.42,61.1,1,person
332,1778951581.34,11.32,87.71,65.7,1,person
333,1778951581.42,11.66,85.14,62.2,1,person
334,1778951581.51,11.75,84.51,62.9,1,person
335,1778951581.6,11.77,84.36,54.8,1,person
336,1778951581.68,11.74,84.58,61.1,1,person
337,1778951581.77,11.67,85.05,61.1,1,person
338,1778951581.85,11.73,84.68,56.3,1,person
339,1778951581.94,11.74,84.58,58.8,1,person
340,1778951582.02,11.58,85.77,61.8,1,person
341,1778951582.11,11.72,84.73,61.1,1,person
342,1778951582.2,11.7,84.87,58.8,1,person
343,1778951582.28,11.76,84.43,62.2,1,person
344,1778951582.37,11.54,86.03,61.8,1,person
345,1778951582.45,11.68,84.98,61.1,1,person
346,1778951582.54,11.73,84.6,58.8,1,person
347,1778951582.62,11.73,84.66,58.8,1,person
348,1778951582.71,11.74,84.56,60.0,1,person
349,1778951582.8,11.44,86.77,59.4,1,person
350,1778951582.88,11.77,84.32,58.8,1,person
351,1778951582.97,11.71,84.71,58.8,1,person
352,1778951583.06,11.44,86.83,58.8,1,person
353,1778951583.14,11.67,85.11,63.2,1,person
354,1778951583.23,11.75,84.53,56.3,1,person
355,1778951583.31,11.76,84.45,61.1,1,person
356,1778951583.4,11.77,84.39,57.6,1,person
357,1778951583.48,11.86,83.74,58.1,1,person
358,1778951583.57,11.69,84.94,56.2,1,person
359,1778951583.65,11.75,84.52,58.8,1,person
360,1778951583.74,11.71,84.73,57.6,1,person
361,1778951583.83,11.65,85.21,62.2,1,person
362,1778951583.91,11.72,84.7,58.8,1,person
363,1778951584.0,11.49,86.45,57.6,1,person
364,1778951584.08,11.55,85.95,58.8,1,person
365,1778951584.17,11.7,84.87,58.8,1,person
366,1778951584.26,11.7,84.83,56.7,1,person
367,1778951584.34,11.76,84.46,62.2,1,person
368,1778951584.43,11.79,84.2,56.3,1,person
369,1778951584.51,11.65,85.18,57.6,1,person
370,1778951584.6,11.73,84.68,58.8,1,person
371,1778951584.68,11.68,84.98,53.3,1,person
372,1778951584.77,11.66,85.18,61.1,1,person
373,1778951584.86,11.71,84.75,58.1,1,person
374,1778951584.94,11.63,85.4,62.2,1,person
375,1778951585.03,11.49,86.39,58.8,1,person
376,1778951585.11,11.8,84.12,56.2,1,person
377,1778951585.2,11.75,84.47,57.6,1,person
378,1778951585.29,11.69,84.92,61.1,1,person
379,1778951585.37,11.7,84.81,57.6,1,person
380,1778951585.46,11.72,84.7,57.6,1,person
381,1778951585.54,11.72,84.7,62.9,1,person
382,1778951585.63,11.71,84.82,57.6,1,person
383,1778951585.71,11.96,82.99,57.6,1,person
384,1778951585.8,11.66,85.14,61.1,1,person
385,1778951585.88,11.68,84.94,58.8,1,person
386,1778951585.97,11.7,84.83,60.0,1,person
387,1778951586.06,11.39,87.16,60.0,1,person
388,1778951586.14,11.7,84.85,58.8,1,person
389,1778951586.23,11.66,85.16,54.8,1,person
390,1778951586.32,11.08,89.65,66.7,1,person
391,1778951586.41,11.51,86.15,58.8,1,person
392,1778951586.49,11.76,84.44,56.3,1,person
393,1778951586.58,11.57,85.82,61.1,1,person
394,1778951586.66,11.64,85.27,56.3,1,person
395,1778951586.75,11.62,85.47,57.6,1,person
396,1778951586.84,11.68,84.99,54.8,1,person
397,1778951586.92,11.63,85.36,60.6,1,person
