frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
254,1778952070.49,11.52,86.0,61.1,6,"person,bottle,person,bottle,bottle,bottle"
255,1778952070.58,11.61,85.44,57.6,6,"person,bottle,person,refrigerator,bottle,bottle"
256,1778952070.67,11.45,86.57,60.0,7,"person,bottle,person,chair,bottle,refrigerator,bottle"
257,1778952070.75,11.79,84.12,62.2,6,"person,bottle,person,bottle,bottle,microwave"
258,1778952070.84,11.54,85.95,58.8,6,"person,bottle,person,microwave,bottle,bottle"
259,1778952070.93,11.64,85.16,63.2,6,"person,bottle,person,bottle,microwave,bottle"
260,1778952071.01,11.52,86.11,58.8,6,"person,bottle,person,bottle,bottle,microwave"
261,1778952071.1,11.38,87.13,54.8,5,"person,bottle,person,bottle,bottle"
262,1778952071.19,11.44,86.65,59.5,5,"person,bottle,person,bottle,bottle"
263,1778952071.28,11.38,87.15,58.8,6,"person,bottle,person,bottle,bottle,microwave"
264,1778952071.36,11.41,86.85,60.0,6,"person,microwave,bottle,person,bottle,bottle"
265,1778952071.45,11.5,86.25,58.8,6,"person,bottle,microwave,person,bottle,bottle"
266,1778952071.54,11.38,87.11,58.3,8,"person,microwave,bottle,chair,person,bottle,bottle,bottle"
267,1778952071.63,11.35,87.39,60.0,7,"person,microwave,bottle,bottle,person,bottle,bottle"
268,1778952071.72,11.48,86.31,60.0,7,"person,microwave,bottle,person,bottle,bottle,bottle"
269,1778952071.8,11.67,84.95,61.1,9,"person,microwave,bottle,chair,bottle,bottle,bottle,person,bottle"
270,1778952071.89,11.5,86.26,56.3,9,"person,microwave,bottle,chair,bottle,bottle,bottle,person,bottle"
271,1778952071.98,11.45,86.66,54.5,8,"person,microwave,bottle,chair,bottle,bottle,bottle,person"
272,1778952072.06,11.34,87.39,61.1,8,"person,bottle,microwave,chair,bottle,bottle,person,bottle"
273,1778952072.15,11.36,87.29,60.0,8,"person,microwave,bottle,chair,bottle,bottle,bottle,person"
274,1778952072.24,11.4,86.92,60.0,6,"microwave,bottle,chair,bottle,bottle,bottle"
275,1778952072.33,11.49,86.32,57.1,6,"microwave,bottle,chair,bottle,bottle,bottle"
276,1778952072.41,11.74,84.46,61.8,5,"microwave,bottle,chair,bottle,bottle"
277,1778952072.5,11.67,85.01,54.8,6,"bottle,microwave,chair,bottle,bottle,bottle"
278,1778952072.59,11.72,84.63,61.1,4,"bottle,chair,microwave,bottle"
279,1778952072.67,11.63,85.3,57.6,5,"bottle,chair,microwave,bottle,bottle"
280,1778952072.76,11.75,84.38,56.3,6,"bottle,microwave,chair,bottle,bottle,bottle"
281,1778952072.84,11.53,86.03,56.3,6,"bottle,chair,microwave,bottle,bottle,bottle"
282,1778952072.93,11.65,85.15,61.1,6,"bottle,chair,microwave,bottle,bottle,bottle"
283,1778952073.02,11.45,86.64,61.1,5,"bottle,microwave,chair,bottle,bottle"
284,1778952073.1,11.47,86.41,57.1,6,"bottle,chair,microwave,bottle,bottle,bottle"
285,1778952073.19,11.45,86.7,56.2,6,"bottle,microwave,chair,bottle,bottle,bottle"
286,1778952073.28,11.39,87.07,57.6,5,"bottle,microwave,chair,bottle,bottle"
287,1778952073.37,11.34,87.43,57.6,6,"bottle,microwave,chair,bottle,bowl,bottle"
288,1778952073.46,11.6,85.4,56.2,6,"bottle,microwave,chair,bottle,bowl,bottle"
289,1778952073.54,11.69,84.89,60.0,7,"bottle,microwave,chair,bowl,bottle,bottle,bottle"
290,1778952073.63,11.56,85.76,56.3,6,"bottle,chair,microwave,bottle,bottle,bowl"
291,1778952073.71,11.7,84.8,61.1,7,"bottle,microwave,chair,bowl,bottle,bottle,bottle"
292,1778952073.8,11.62,85.31,56.2,6,"bottle,chair,microwave,bowl,bottle,bottle"
293,1778952073.89,11.56,85.84,62.2,6,"bottle,microwave,chair,bottle,bowl,bottle"
294,1778952073.97,11.56,85.79,54.8,7,"bottle,chair,bottle,bottle,microwave,bowl,bottle"
