frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
158,30.983,188.98,5.29,43.8,16.0,52.7,1
159,31.175,189.29,5.28,50.0,16.0,53.8,1
160,31.368,194.21,5.15,49.4,16.0,53.8,1
161,31.565,223.44,4.48,48.9,16.1,53.2,1
162,31.791,189.74,5.27,50.0,16.1,53.8,1
163,31.984,190.18,5.26,44.6,16.1,53.8,1
164,32.177,189.42,5.28,49.4,16.1,53.8,1
165,32.37,192.1,5.21,45.3,16.1,54.3,2
166,32.565,190.92,5.24,42.9,16.1,53.2,1
167,32.759,189.32,5.28,50.6,16.1,52.7,1
168,32.951,189.84,5.27,49.4,16.1,53.8,1
169,33.144,189.38,5.28,43.8,16.1,53.8,1
170,33.336,189.55,5.28,45.2,16.1,53.2,1
171,33.529,192.07,5.21,51.2,16.1,53.8,1
172,33.724,189.47,5.28,41.4,16.1,53.2,1
173,33.917,190.61,5.25,47.4,16.1,52.7,1
174,34.11,191.21,5.23,49.4,16.1,53.8,1
175,34.304,192.26,5.2,48.1,16.1,54.3,1
176,34.5,191.86,5.21,45.3,16.0,54.3,1
177,34.695,189.72,5.27,48.7,16.0,54.3,1
178,34.887,190.44,5.25,50.6,16.0,53.2,1
179,35.081,189.56,5.28,50.0,16.0,54.9,1
180,35.274,190.6,5.25,45.3,16.0,53.2,1
181,35.467,198.8,5.03,42.7,16.0,53.2,1
182,35.669,190.91,5.24,46.1,16.0,53.8,2
183,35.863,191.11,5.23,46.1,16.0,53.8,1
184,36.057,189.54,5.28,47.4,16.0,53.8,1
185,36.25,189.28,5.28,48.7,16.0,54.3,1
186,36.442,195.93,5.1,52.4,16.0,53.8,1
187,36.641,188.96,5.29,50.0,16.1,54.3,1
188,36.833,188.59,5.3,48.7,16.1,53.8,1
189,37.024,188.93,5.29,48.1,16.1,52.7,1
190,37.216,189.25,5.28,45.9,16.1,53.2,1
191,37.409,190.17,5.26,49.4,16.1,53.8,1
192,37.602,192.04,5.21,47.4,16.1,54.3,1
193,37.797,190.13,5.26,46.8,16.1,52.7,1
194,37.99,191.17,5.23,43.1,16.1,53.2,1
195,38.184,189.15,5.29,45.3,16.1,53.8,1
196,38.377,188.91,5.29,42.9,16.1,52.7,1
197,38.569,190.5,5.25,47.4,16.1,54.9,1
198,38.762,191.13,5.23,48.1,16.1,53.8,1
199,38.957,189.43,5.28,46.8,16.1,53.2,1
200,39.15,189.12,5.29,48.7,16.1,53.2,1
201,39.342,189.93,5.27,48.8,16.1,54.3,1
202,39.535,190.86,5.24,44.6,16.1,53.8,1
203,39.729,189.07,5.29,48.8,16.1,54.3,1
204,39.921,189.64,5.27,48.7,16.1,53.2,1
205,40.114,188.63,5.3,47.4,16.1,53.2,1
206,40.305,189.57,5.28,48.7,16.0,53.8,1
207,40.498,189.46,5.28,47.4,16.0,53.2,1
208,40.69,188.84,5.3,46.1,16.0,54.3,1
209,40.882,189.45,5.28,48.8,16.0,53.8,1
210,41.075,187.96,5.32,50.0,16.0,53.8,1
211,41.266,188.83,5.3,48.1,16.0,54.3,1
212,41.458,194.68,5.14,49.4,16.0,54.3,1
213,41.656,188.75,5.3,42.9,16.1,53.8,1
214,41.847,188.12,5.32,50.6,16.1,54.3,1
215,42.039,187.99,5.32,49.4,16.1,53.8,1
216,42.23,187.81,5.32,48.8,16.1,54.3,1
217,42.42,189.1,5.29,45.2,16.1,53.8,1
218,42.612,190.52,5.25,48.7,16.0,53.8,1
219,42.806,192.18,5.2,50.0,16.0,54.3,1
220,43.001,188.78,5.3,46.1,16.0,53.2,1
221,43.194,190.09,5.26,49.4,16.0,53.8,1
222,43.387,189.83,5.27,48.1,16.0,54.3,1
223,43.58,190.19,5.26,46.8,16.1,53.2,1
224,43.773,189.05,5.29,45.9,16.1,53.8,1
225,43.965,188.22,5.31,48.8,16.1,54.9,1
226,44.157,188.54,5.3,44.4,16.1,53.2,1
227,44.348,188.82,5.3,42.3,16.1,54.3,1
228,44.54,190.31,5.25,47.4,16.1,54.9,1
229,44.733,188.79,5.3,48.7,16.1,53.8,1
230,44.925,188.27,5.31,47.4,16.1,54.3,1
231,45.116,189.4,5.28,46.7,16.1,53.8,1
232,45.31,188.96,5.29,47.4,16.0,54.9,1
233,45.502,189.14,5.29,46.1,16.0,54.3,1
234,45.694,189.41,5.28,48.7,16.0,53.8,1
235,45.886,188.25,5.31,46.1,16.0,54.3,1
236,46.077,188.55,5.3,48.1,16.0,54.9,1
237,46.269,188.46,5.31,46.8,16.0,54.3,1
238,46.461,192.7,5.19,45.8,16.0,55.4,1
239,46.656,188.7,5.3,41.4,16.1,54.9,1
240,46.848,188.12,5.32,48.1,16.1,54.9,1
241,47.039,189.69,5.27,43.7,16.1,53.8,1
242,47.232,188.29,5.31,43.1,16.1,54.9,1
243,47.424,189.92,5.27,43.8,16.1,54.9,1
244,47.617,190.52,5.25,51.2,16.1,55.4,1
245,47.81,188.42,5.31,49.4,16.1,54.9,1
246,48.002,188.21,5.31,47.4,16.1,54.3,1
247,48.193,188.52,5.3,49.4,16.1,54.3,1
248,48.385,189.77,5.27,43.7,16.1,53.8,1
249,48.577,188.67,5.3,48.8,16.1,54.3,1
250,48.769,188.47,5.31,50.6,16.1,54.9,1
251,48.961,188.82,5.3,46.1,16.1,54.9,1
252,49.153,189.2,5.29,50.0,16.1,55.4,1
253,49.345,188.85,5.3,49.4,16.1,55.4,1
254,49.538,190.05,5.26,48.8,16.0,54.3,1
255,49.731,188.47,5.31,50.6,16.0,53.8,1
256,49.922,188.73,5.3,48.1,16.0,54.9,1
257,50.114,188.63,5.3,48.1,16.0,55.4,1
258,50.305,188.58,5.3,45.3,16.0,54.3,1
259,50.497,189.44,5.28,49.4,16.0,54.3,1
260,50.69,188.94,5.29,48.1,16.0,53.8,1
261,50.882,189.37,5.28,46.7,16.0,54.9,1
262,51.074,189.32,5.28,47.4,16.0,54.9,1
263,51.266,189.33,5.28,49.4,16.0,54.3,1
264,51.459,193.76,5.16,53.0,16.0,55.4,1
265,51.655,189.24,5.28,42.3,16.1,54.9,1
