frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
266,1778951322.96,11.69,84.84,60.0,3,"bottle,bottle,microwave"
267,1778951323.04,11.53,86.0,60.0,3,"bottle,bottle,sink"
268,1778951323.13,11.57,85.72,62.2,3,"bottle,bottle,microwave"
269,1778951323.22,11.59,85.61,58.8,3,"bottle,bottle,microwave"
270,1778951323.3,11.62,85.34,57.6,3,"bottle,bottle,microwave"
271,1778951323.39,11.65,85.13,60.0,3,"bottle,bottle,microwave"
272,1778951323.48,11.66,85.07,56.3,3,"bottle,bottle,sink"
273,1778951323.56,11.63,85.25,62.2,3,"bottle,bottle,sink"
274,1778951323.65,11.6,85.45,60.0,2,"bottle,bottle"
275,1778951323.73,11.68,84.92,60.0,2,"bottle,bottle"
276,1778951323.82,11.56,85.8,53.3,3,"bottle,bottle,microwave"
277,1778951323.91,11.67,85.03,61.1,3,"bottle,bottle,microwave"
278,1778951323.99,11.47,86.47,55.9,3,"bottle,bottle,microwave"
279,1778951324.08,11.63,85.28,54.8,3,"bottle,bottle,microwave"
280,1778951324.17,11.66,85.09,58.8,2,"bottle,bottle"
281,1778951324.25,11.58,85.63,56.2,3,"bottle,bottle,sink"
282,1778951324.34,11.65,85.16,58.8,4,"bottle,microwave,bottle,sink"
283,1778951324.43,11.63,85.26,58.8,4,"bottle,bottle,sink,microwave"
284,1778951324.51,11.67,84.98,58.8,3,"bottle,bottle,microwave"
285,1778951324.6,11.68,84.93,60.0,2,"bottle,bottle"
286,1778951324.68,11.65,85.11,61.1,3,"bottle,bottle,microwave"
287,1778951324.77,11.59,85.56,58.8,3,"bottle,bottle,microwave"
288,1778951324.86,11.55,85.83,57.6,3,"bottle,bottle,microwave"
289,1778951324.94,11.62,85.35,62.2,2,"bottle,bottle"
290,1778951325.03,11.3,87.81,61.1,3,"bottle,bottle,microwave"
291,1778951325.12,11.55,85.83,63.2,3,"bottle,microwave,bottle"
292,1778951325.2,11.6,85.48,57.6,3,"bottle,bottle,microwave"
293,1778951325.29,11.62,85.31,62.2,4,"bottle,bottle,sink,microwave"
294,1778951325.38,11.64,85.18,57.6,2,"bottle,bottle"
295,1778951325.46,11.64,85.17,56.3,3,"bottle,microwave,bottle"
296,1778951325.55,11.65,85.1,58.8,3,"bottle,bottle,microwave"
297,1778951325.64,11.49,86.3,58.8,3,"bottle,bottle,sink"
298,1778951325.72,11.67,84.95,61.1,3,"bottle,bottle,microwave"
299,1778951325.81,11.55,85.87,58.8,3,"bottle,bottle,sink"
300,1778951325.9,11.64,85.14,57.6,3,"bottle,bottle,microwave"
301,1778951325.98,11.68,84.89,61.1,3,"bottle,bottle,microwave"
302,1778951326.07,11.38,87.16,57.6,3,"bottle,microwave,bottle"
303,1778951326.16,11.62,85.35,56.2,4,"bottle,microwave,bottle,bowl"
304,1778951326.24,11.61,85.42,60.0,2,"bottle,bottle"
305,1778951326.33,11.51,86.19,58.8,3,"bottle,bottle,microwave"
306,1778951326.42,10.75,92.34,63.2,3,"bottle,bottle,microwave"
307,1778951326.51,11.5,86.28,57.6,4,"bottle,bottle,microwave,sink"
308,1778951326.6,11.51,86.16,58.8,3,"bottle,bottle,microwave"
309,1778951326.68,11.63,85.24,63.2,4,"bottle,bottle,microwave,sink"
310,1778951326.77,11.52,86.07,58.8,3,"bottle,bottle,microwave"
311,1778951326.86,11.63,85.25,57.6,3,"bottle,microwave,bottle"
312,1778951326.94,11.66,85.04,58.8,3,"bottle,microwave,bottle"
313,1778951327.03,11.41,86.98,56.3,3,"bottle,bottle,microwave"
314,1778951327.12,11.65,85.15,54.5,3,"bottle,microwave,bottle"
315,1778951327.2,11.68,84.93,62.9,4,"bottle,bottle,microwave,sink"
316,1778951327.29,11.64,85.19,53.1,3,"bottle,microwave,bottle"
317,1778951327.37,11.71,84.7,61.8,3,"bottle,microwave,bottle"
318,1778951327.46,11.43,86.75,61.1,3,"microwave,bottle,bottle"
319,1778951327.55,11.63,85.26,57.6,3,"bottle,bottle,microwave"
320,1778951327.63,11.62,85.37,58.3,4,"bottle,microwave,bottle,sink"
321,1778951327.72,11.62,85.38,57.6,3,"bottle,microwave,bottle"
322,1778951327.81,11.64,85.19,62.2,3,"bottle,bottle,microwave"
323,1778951327.89,11.57,85.77,58.8,3,"bottle,bottle,microwave"
324,1778951327.98,11.68,84.92,58.8,3,"bottle,microwave,bottle"
325,1778951328.07,11.53,86.05,60.0,3,"bottle,microwave,bottle"
326,1778951328.15,11.6,85.54,57.6,4,"bottle,bottle,microwave,sink"
327,1778951328.24,11.68,84.9,62.2,3,"bottle,microwave,bottle"
328,1778951328.33,11.52,86.13,57.6,3,"bottle,bottle,microwave"
329,1778951328.41,11.67,84.94,60.0,3,"bottle,bottle,microwave"
330,1778951328.5,11.59,85.59,61.1,3,"bottle,microwave,bottle"
331,1778951328.58,11.65,85.13,54.8,3,"bottle,bottle,microwave"
332,1778951328.67,11.51,86.17,60.0,3,"bottle,microwave,bottle"
333,1778951328.76,11.35,87.38,63.2,4,"bottle,microwave,bottle,sink"
334,1778951328.85,11.58,85.64,58.3,3,"bottle,bottle,microwave"
335,1778951328.93,11.6,85.51,57.6,4,"bottle,bottle,microwave,sink"
336,1778951329.02,11.5,86.27,62.2,3,"bottle,bottle,microwave"
337,1778951329.12,10.19,97.41,64.1,3,"bottle,microwave,bottle"
338,1778951329.2,11.63,85.22,56.2,3,"bottle,bottle,microwave"
339,1778951329.29,11.64,85.23,61.1,3,"bottle,bottle,microwave"
340,1778951329.38,11.62,85.34,56.3,3,"bottle,microwave,bottle"
341,1778951329.46,11.64,85.24,62.2,3,"bottle,bottle,microwave"
342,1778951329.55,11.64,85.21,54.8,3,"bottle,bottle,microwave"
343,1778951329.63,11.68,84.95,60.0,3,"bottle,bottle,sink"
344,1778951329.72,11.57,85.72,58.8,3,"bottle,microwave,bottle"
345,1778951329.81,11.42,86.88,55.9,3,"bottle,bottle,microwave"
346,1778951329.9,11.56,85.82,58.8,3,"bottle,microwave,bottle"
347,1778951329.98,11.6,85.53,60.6,2,"bottle,bottle"
348,1778951330.07,11.53,86.0,58.8,3,"bottle,bottle,microwave"
349,1778951330.16,11.63,85.25,58.8,3,"bottle,bottle,microwave"
350,1778951330.24,11.57,85.76,55.9,3,"bottle,bottle,microwave"
351,1778951330.33,11.5,86.29,54.8,4,"bottle,bottle,microwave,sink"
352,1778951330.41,11.68,84.87,60.0,3,"bottle,bottle,microwave"
353,1778951330.5,11.61,85.43,57.6,2,"bottle,bottle"
354,1778951330.59,11.67,84.96,58.8,3,"bottle,bottle,microwave"
355,1778951330.67,11.64,85.24,57.6,3,"bottle,bottle,microwave"
356,1778951330.76,11.57,85.7,57.6,3,"bottle,bottle,microwave"
