frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
239,1778951910.67,11.5,86.38,57.6,7,"chair,microwave,bottle,bottle,bottle,bowl,bottle"
240,1778951910.76,11.66,85.12,57.6,7,"chair,microwave,bottle,bottle,bottle,chair,bowl"
241,1778951910.84,11.57,85.89,51.7,7,"microwave,chair,bottle,bottle,chair,bottle,bottle"
242,1778951910.93,11.63,85.32,58.8,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
243,1778951911.02,11.56,85.89,57.6,6,"chair,microwave,bottle,bottle,bottle,bottle"
244,1778951911.11,11.34,87.59,58.8,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
245,1778951911.19,11.68,85.04,58.1,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
246,1778951911.28,11.76,84.42,63.2,6,"chair,microwave,bottle,bottle,bottle,bottle"
247,1778951911.36,11.63,85.42,56.2,6,"chair,microwave,bottle,bottle,bottle,chair"
248,1778951911.45,11.65,85.22,60.0,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
249,1778951911.54,11.7,84.85,60.0,6,"chair,bottle,microwave,bottle,bottle,bottle"
250,1778951911.62,11.66,85.14,62.2,8,"chair,microwave,bottle,bottle,bottle,bottle,chair,bottle"
251,1778951911.71,11.68,85.04,57.6,6,"chair,microwave,bottle,bottle,bottle,bottle"
252,1778951911.79,11.69,84.92,58.8,6,"microwave,chair,bottle,bottle,bottle,chair"
253,1778951911.88,11.75,84.53,58.8,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
254,1778951911.96,11.81,84.08,58.1,5,"chair,microwave,bottle,bottle,bottle"
255,1778951912.05,11.65,85.24,60.0,7,"chair,bottle,microwave,bottle,chair,bottle,bottle"
256,1778951912.14,11.65,85.2,57.6,6,"chair,bottle,microwave,bottle,bottle,chair"
257,1778951912.22,11.78,84.27,61.1,6,"chair,microwave,bottle,bottle,bottle,bottle"
258,1778951912.31,11.71,84.79,62.2,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
259,1778951912.39,11.75,84.5,56.2,7,"chair,bottle,microwave,bottle,bottle,chair,bottle"
260,1778951912.48,11.83,83.94,60.6,6,"chair,microwave,bottle,bottle,bottle,chair"
261,1778951912.56,11.81,84.13,63.2,7,"chair,bottle,microwave,bottle,bottle,bottle,chair"
262,1778951912.65,11.74,84.58,61.1,5,"chair,bottle,microwave,bottle,bottle"
263,1778951912.73,11.83,83.93,56.3,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
264,1778951912.82,11.75,84.46,58.8,6,"chair,microwave,bottle,bottle,chair,bottle"
265,1778951912.9,11.8,84.15,62.9,5,"chair,microwave,bottle,bottle,bottle"
266,1778951912.99,11.66,85.1,61.1,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
267,1778951913.07,11.66,85.22,62.2,6,"chair,microwave,bottle,bottle,bottle,bottle"
268,1778951913.16,11.73,84.64,58.8,6,"chair,microwave,bottle,bottle,chair,bottle"
269,1778951913.24,11.79,84.2,58.8,7,"chair,microwave,bottle,bottle,bottle,bottle,bottle"
270,1778951913.33,11.76,84.44,62.9,6,"chair,microwave,bottle,bottle,chair,bottle"
271,1778951913.41,11.78,84.26,57.6,5,"chair,bottle,microwave,bottle,bottle"
272,1778951913.5,11.83,83.91,54.8,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
273,1778951913.58,11.8,84.19,56.3,5,"chair,bottle,microwave,bottle,bottle"
