frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
54,11.72,84.75,60.0,1,0,1,
55,11.69,84.95,60.0,2,2,0,person on your left | person on your left
56,11.61,85.53,61.1,2,1,1,person ahead
57,11.65,85.27,56.3,3,2,1,person on your left | person on your left
58,11.65,85.24,61.1,2,0,2,
59,11.64,85.32,57.6,2,1,1,person on your left
60,11.63,85.16,57.6,2,0,2,
61,11.73,84.68,54.8,1,0,1,
62,11.64,85.32,62.2,1,1,0,person on your left
63,11.51,86.28,57.6,1,0,1,
64,11.74,84.54,57.6,1,0,1,
65,11.71,84.84,54.8,1,1,0,person ahead
66,10.73,92.59,63.2,1,0,1,
67,11.56,85.89,57.6,1,0,1,
68,11.71,84.77,58.1,1,0,1,
69,11.61,85.53,54.8,2,1,1,person on your left
70,11.64,85.28,58.8,2,0,2,
71,11.62,85.5,53.1,2,1,1,person ahead
72,11.67,85.11,58.8,2,0,2,
73,11.51,86.2,60.0,2,0,2,
74,11.37,87.31,60.0,2,0,2,
75,11.7,84.85,54.8,2,0,2,
76,11.67,85.09,58.8,2,1,1,person on your right
77,11.45,86.65,57.6,2,0,2,
78,11.5,86.37,57.6,2,0,2,
79,11.67,85.08,57.6,2,0,2,
80,11.7,84.9,56.3,2,0,2,
81,11.68,85.04,60.0,2,0,2,
82,11.71,84.77,60.0,2,0,2,
83,11.68,85.04,60.0,2,1,1,person ahead
84,11.71,84.8,57.6,2,1,1,person on your left
85,11.69,84.97,56.3,2,0,2,
86,11.45,86.72,57.6,2,0,2,
87,11.68,85.0,58.8,2,0,2,
88,11.55,85.97,53.3,2,0,2,
89,11.6,85.6,58.8,2,0,2,
90,11.34,87.52,62.2,2,0,2,
91,11.64,85.23,61.1,2,0,2,
92,11.7,84.84,58.8,2,0,2,
93,11.4,87.08,59.5,2,0,2,
94,11.44,86.74,61.1,2,0,2,
95,11.67,85.13,61.1,2,0,2,
96,11.54,86.09,60.0,2,0,2,
97,11.23,88.45,57.1,2,0,2,
98,11.65,85.12,58.8,2,0,2,
99,11.67,85.11,58.8,2,0,2,
100,11.73,84.68,60.6,2,0,2,
101,11.72,84.76,57.6,2,0,2,
102,11.6,85.62,62.2,2,0,2,
103,11.7,84.88,54.8,2,0,2,
104,11.59,85.72,57.1,2,0,2,
105,11.61,85.58,57.6,2,0,2,
106,11.57,85.82,54.8,2,1,1,person ahead
107,11.62,85.4,62.2,2,0,2,
108,11.56,85.89,54.8,2,0,2,
109,11.43,86.87,60.0,2,0,2,
110,11.51,86.25,57.6,2,1,1,person on your left
111,11.66,85.16,61.1,2,1,1,person ahead
112,11.46,86.64,54.5,2,0,2,
113,11.48,86.47,57.6,2,0,2,
114,11.48,86.43,56.3,2,0,2,
115,11.58,85.74,62.2,2,0,2,
116,11.65,85.21,57.6,2,0,2,
117,11.52,86.25,56.3,2,0,2,
118,11.49,86.37,60.5,2,0,2,
119,11.67,85.13,56.3,2,0,2,
120,11.55,86.01,60.0,2,0,2,
121,11.48,86.4,57.6,2,0,2,
122,11.5,86.33,61.1,2,0,2,
123,10.58,93.9,61.8,2,0,2,
124,11.62,85.33,60.0,2,1,1,person on your right
125,11.55,85.97,61.1,2,1,1,person ahead
126,11.64,85.3,56.2,2,0,2,
127,11.64,85.26,58.3,2,0,2,
128,11.58,85.69,58.8,2,0,2,
129,11.61,85.52,56.2,2,0,2,
130,11.66,85.15,62.2,2,0,2,
131,11.6,85.55,61.1,2,0,2,
132,11.5,86.4,63.2,2,0,2,
133,11.68,85.01,58.8,2,0,2,
134,11.68,84.96,60.0,2,0,2,
135,11.56,85.91,60.6,2,0,2,
136,11.65,85.18,58.8,2,1,1,person on your left
137,11.75,84.5,60.0,2,0,2,
138,11.62,85.49,55.9,2,1,1,person on your right
139,11.72,84.7,55.2,2,0,2,
140,11.71,84.78,62.2,2,1,1,person on your right
141,11.76,84.42,57.6,2,0,2,
142,11.78,84.32,60.0,2,0,2,
143,11.66,85.19,62.2,2,0,2,
