frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
101,11.59,85.64,57.6,2,0,2,
102,11.77,84.29,60.0,2,0,2,
103,11.73,84.61,57.6,2,0,2,
104,11.62,85.37,55.2,3,1,2,refrigerator on your left
105,11.51,86.21,58.8,2,0,2,
106,11.59,85.59,62.2,2,0,2,
107,11.68,85.0,56.3,2,0,2,
108,11.62,85.38,61.1,3,0,3,
109,11.7,84.83,57.6,2,0,2,
110,11.72,84.65,61.1,2,0,2,
111,11.7,84.83,57.6,2,0,2,
112,11.7,84.78,57.6,2,0,2,
113,11.67,85.06,61.1,2,0,2,
114,11.72,84.66,56.3,2,0,2,
115,11.69,84.87,62.2,2,0,2,
116,11.63,85.32,53.3,2,0,2,
117,11.44,86.76,56.2,2,2,0,person on your right | microwave ahead
118,11.67,85.03,62.9,2,0,2,
119,11.62,85.35,54.8,2,0,2,
120,11.71,84.72,62.2,2,0,2,
121,11.67,85.03,60.0,2,0,2,
122,11.71,84.73,60.0,2,0,2,
123,11.66,85.1,57.6,2,0,2,
124,11.67,85.0,63.2,2,0,2,
125,10.12,98.21,59.5,2,0,2,
126,11.62,85.36,63.2,2,0,2,
127,11.82,83.99,58.1,2,0,2,
128,11.44,86.75,62.2,2,0,2,
129,11.65,85.19,56.3,2,0,2,
130,11.67,85.0,60.0,2,0,2,
131,11.65,85.2,57.6,2,0,2,
132,11.77,84.27,58.8,2,0,2,
133,11.73,84.62,56.3,2,0,2,
134,11.73,84.57,60.0,2,0,2,
135,11.69,84.9,60.6,2,0,2,
136,11.64,85.25,56.3,2,0,2,
137,11.45,86.68,58.8,2,0,2,
138,11.75,84.45,62.2,2,0,2,
139,11.75,84.41,57.6,2,0,2,
140,11.59,85.61,56.3,2,0,2,
141,11.64,85.27,56.2,2,0,2,
142,11.76,84.34,60.6,2,0,2,
143,11.74,84.54,58.8,2,0,2,
144,11.57,85.8,58.8,2,0,2,
145,11.79,84.19,58.8,2,0,2,
146,11.75,84.47,56.3,2,0,2,
