frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
196,11.65,85.14,61.1,2,0,2,
197,11.54,85.94,58.8,2,0,2,
198,11.72,84.57,60.0,2,0,2,
199,11.77,84.23,54.8,2,0,2,
200,11.79,84.09,59.4,1,0,1,
201,11.74,84.52,61.1,1,0,1,
202,11.78,84.13,54.8,1,0,1,
203,11.79,84.16,58.8,1,0,1,
204,11.56,85.81,62.9,1,0,1,
205,11.62,85.37,56.3,2,0,2,
206,11.43,86.75,54.8,2,0,2,
207,11.7,84.82,62.2,1,0,1,
208,11.65,85.1,57.6,2,0,2,
209,11.77,84.26,62.9,1,0,1,
210,11.67,84.94,57.6,1,0,1,
211,11.72,84.66,57.6,2,0,2,
212,11.72,84.58,57.6,1,0,1,
213,11.6,85.56,56.3,1,0,1,
214,11.64,85.17,60.0,1,0,1,
215,11.3,87.79,62.2,1,0,1,
216,11.51,86.13,61.1,1,0,1,
217,11.51,86.2,58.8,2,0,2,
218,11.34,87.39,57.6,1,0,1,
219,11.76,84.34,57.6,1,0,1,
220,11.71,84.65,62.2,2,0,2,
221,11.68,84.9,57.6,1,0,1,
222,11.52,86.02,60.0,1,0,1,
223,11.47,86.45,56.3,1,0,1,
224,11.42,86.77,57.6,2,0,2,
225,11.69,84.86,58.8,1,0,1,
226,11.67,84.96,60.0,2,0,2,
227,11.63,85.28,58.8,1,0,1,
228,11.72,84.61,54.8,1,0,1,
229,11.63,85.28,62.9,1,0,1,
230,11.69,84.8,57.6,1,0,1,
231,11.76,84.36,61.1,1,0,1,
232,11.71,84.69,57.6,1,0,1,
233,11.71,84.73,62.9,2,0,2,
234,11.73,84.52,58.8,1,0,1,
235,11.78,84.2,56.3,1,0,1,
236,11.76,84.35,61.1,2,0,2,
237,11.76,84.38,58.8,2,0,2,
238,11.74,84.5,60.6,1,1,0,microwave on your left
239,11.71,84.7,58.8,1,0,1,
240,11.67,84.98,57.6,1,0,1,
241,11.49,86.35,57.6,2,1,1,tv on your left
242,11.71,84.68,56.2,1,0,1,
243,11.71,84.69,61.8,1,0,1,
244,11.77,84.27,60.0,1,0,1,
245,11.74,84.49,56.2,1,0,1,
246,11.68,84.92,62.2,1,0,1,
247,11.72,84.6,57.6,1,0,1,
248,11.68,84.92,60.0,2,0,2,
249,11.68,84.89,60.6,2,0,2,
250,10.26,96.7,59.5,1,0,1,
251,11.62,85.35,57.6,1,0,1,
252,11.35,87.4,61.1,2,0,2,
253,11.59,85.61,62.2,1,0,1,
254,11.59,85.58,56.3,1,0,1,
255,11.78,84.21,58.8,1,0,1,
256,11.64,85.17,56.3,2,0,2,
257,11.69,84.88,62.2,2,0,2,
258,11.63,85.26,57.6,2,0,2,
259,11.7,84.77,60.0,1,0,1,
260,11.66,85.05,57.6,1,0,1,
261,11.71,84.71,60.0,2,0,2,
262,11.48,86.4,59.4,2,0,2,
263,11.66,85.09,61.1,1,0,1,
264,11.48,86.41,57.6,1,0,1,
265,11.54,85.95,58.8,1,0,1,
266,11.72,84.62,61.1,1,0,1,
267,11.64,85.23,57.6,1,0,1,
268,11.7,84.74,61.8,1,0,1,
269,11.66,85.04,61.1,2,0,2,
270,11.71,84.67,63.2,1,0,1,
271,11.7,84.76,57.6,1,0,1,
272,11.79,84.11,59.4,1,0,1,
273,11.48,86.44,63.2,1,0,1,
274,11.76,84.32,61.1,1,0,1,
275,11.68,84.96,57.6,1,0,1,
276,11.66,85.07,60.0,1,0,1,
277,11.66,85.05,59.4,2,0,2,
278,11.66,85.0,56.3,1,0,1,
279,11.69,84.89,57.6,1,0,1,
280,11.69,84.77,54.8,1,0,1,
281,11.73,84.54,62.2,1,0,1,
282,11.68,84.9,57.6,1,0,1,
283,11.75,84.4,61.8,1,0,1,
284,11.65,85.1,58.8,1,0,1,
285,11.73,84.54,56.3,1,0,1,
286,11.69,84.77,60.0,2,0,2,
287,11.5,86.27,57.6,2,0,2,
288,11.63,85.23,59.4,1,0,1,
289,11.7,84.79,60.0,1,0,1,
290,11.68,84.87,56.3,2,0,2,
291,11.69,84.85,53.3,1,0,1,
292,11.71,84.69,56.3,1,0,1,
293,11.74,84.5,59.4,1,0,1,
294,11.71,84.65,58.8,1,0,1,
295,11.7,84.77,60.0,2,0,2,
296,11.71,84.64,60.0,1,0,1,
297,11.61,85.33,61.1,1,1,0,microwave on your left
298,11.74,84.48,53.3,2,1,1,person on your right
299,11.41,86.94,61.1,3,0,3,
300,11.66,85.01,62.2,2,1,1,tv on your left
301,11.75,84.42,59.4,2,0,2,
