frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
93,11.57,85.8,56.2,1,1,0,person on your right
94,11.51,86.27,56.3,1,0,1,
95,11.45,86.74,63.2,1,1,0,person on your right
96,11.54,86.04,60.0,1,0,1,
97,11.67,85.1,56.3,1,0,1,
98,11.66,85.12,62.2,1,0,1,
99,11.62,85.29,54.8,1,0,1,
100,11.75,84.53,62.2,1,0,1,
101,11.62,85.46,60.0,1,0,1,
102,11.7,84.87,57.6,1,0,1,
103,11.59,85.63,60.0,1,0,1,
104,11.72,84.74,61.1,1,0,1,
105,11.6,85.61,61.8,1,0,1,
106,11.69,84.96,63.2,1,1,0,person ahead
107,11.44,86.84,56.3,1,0,1,
108,11.56,85.87,58.8,1,0,1,
109,11.71,84.78,61.1,1,0,1,
110,11.6,85.6,58.8,1,0,1,
111,11.69,84.93,63.2,1,0,1,
112,11.68,84.99,57.6,1,0,1,
113,11.7,84.91,60.0,1,0,1,
114,11.61,85.51,57.6,1,0,1,
115,11.66,85.17,63.2,1,0,1,
116,11.64,85.33,56.3,1,0,1,
117,11.69,84.94,64.9,1,0,1,
118,11.51,86.29,58.8,1,0,1,
119,11.58,85.65,61.1,1,0,1,
120,11.67,85.09,58.8,1,0,1,
121,11.62,85.42,58.8,1,0,1,
122,11.62,85.43,62.2,1,0,1,
123,11.58,85.79,51.7,1,0,1,
124,11.56,85.92,57.6,1,0,1,
125,11.71,84.77,61.1,1,1,0,person on your right
126,11.61,85.54,58.8,1,0,1,
127,11.72,84.74,61.1,1,0,1,
128,11.59,85.67,57.6,1,0,1,
129,11.65,85.24,60.0,1,0,1,
130,11.45,86.7,61.1,1,0,1,
131,11.52,86.17,61.1,1,0,1,
132,11.69,84.94,61.1,1,0,1,
133,11.58,85.63,59.4,1,0,1,
134,11.63,85.34,61.1,1,0,1,
135,10.87,91.4,63.9,1,0,1,
136,11.59,85.67,57.6,1,0,1,
137,11.6,85.63,57.6,1,0,1,
138,11.61,85.51,58.8,1,1,0,person on your right
139,11.7,84.88,58.8,1,0,1,
140,11.66,85.13,60.0,1,0,1,
141,11.53,86.13,57.6,1,0,1,
142,11.59,85.53,56.3,1,1,0,person on your right
143,11.6,85.58,62.2,1,0,1,
144,11.69,84.9,59.4,1,0,1,
145,11.65,85.29,62.2,1,0,1,
146,11.63,85.39,58.8,1,0,1,
