frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
143,1778953261.39,11.73,84.6,62.9,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",1
144,1778953261.48,11.7,84.82,58.8,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
145,1778953261.56,11.7,84.82,60.0,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
146,1778953261.65,11.67,85.06,61.1,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",1
147,1778953261.74,11.75,84.5,54.8,2,2,"4,10","person,tv","left,center","0.39,0.22","0.39,0.17",1
148,1778953261.82,11.67,85.04,63.2,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.19,0.22","0.39,0.17,0.17",0
149,1778953261.91,11.56,85.85,54.8,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",1
150,1778953262.0,11.46,86.66,58.8,2,2,"4,10","person,tv","left,center","0.39,0.21","0.4,0.17",1
151,1778953262.08,11.71,84.82,60.0,1,1,4,person,left,0.39,0.4,2
152,1778953262.17,11.64,85.28,56.3,1,1,4,person,left,0.39,0.4,2
153,1778953262.25,11.72,84.68,60.0,1,1,4,person,left,0.39,0.4,2
154,1778953262.34,11.75,84.51,57.6,1,1,4,person,left,0.39,0.4,2
155,1778953262.42,11.67,85.06,58.8,1,1,4,person,left,0.39,0.4,2
156,1778953262.51,11.73,84.61,58.8,1,1,4,person,left,0.39,0.4,2
157,1778953262.6,11.64,85.26,51.7,1,1,4,person,left,0.39,0.4,2
158,1778953262.68,11.7,84.86,61.8,1,1,4,person,left,0.39,0.4,2
159,1778953262.77,11.68,85.02,54.8,1,1,4,person,left,0.39,0.4,1
160,1778953262.85,11.66,85.16,61.1,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",0
161,1778953262.94,11.67,85.08,54.8,1,1,4,person,left,0.39,0.4,1
162,1778953263.03,11.52,86.18,64.1,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",0
163,1778953263.11,11.72,84.69,58.8,1,1,4,person,left,0.39,0.4,1
164,1778953263.2,11.71,84.75,60.0,2,2,"4,10","person,tv","left,center","0.38,0.22","0.4,0.17",0
165,1778953263.28,11.62,85.41,56.3,2,2,"4,10","person,tv","left,center","0.38,0.22","0.4,0.18",0
166,1778953263.37,11.75,84.49,61.1,2,2,"4,10","person,tv","left,center","0.38,0.22","0.4,0.18",0
167,1778953263.46,11.76,84.41,56.3,2,2,"4,10","person,tv","left,center","0.38,0.21","0.39,0.18",0
168,1778953263.54,11.39,87.21,63.9,2,2,"4,10","person,tv","left,center","0.37,0.22","0.4,0.19",0
169,1778953263.63,11.28,88.06,60.0,1,1,4,person,left,0.37,0.4,1
170,1778953263.72,11.79,84.22,61.1,2,2,"4,10","person,tv","left,center","0.37,0.22","0.4,0.18",0
171,1778953263.8,11.8,84.15,57.6,2,2,"4,10","person,tv","left,center","0.37,0.22","0.4,0.18",0
172,1778953263.89,11.71,84.79,54.8,1,1,4,person,left,0.36,0.4,1
173,1778953263.97,11.73,84.65,63.9,1,1,4,person,center,0.37,0.41,1
174,1778953264.06,11.46,86.61,56.3,1,1,4,person,center,0.37,0.41,1
175,1778953264.15,11.76,84.4,60.0,1,1,4,person,center,0.37,0.42,1
176,1778953264.23,11.69,84.92,56.3,1,1,4,person,center,0.37,0.43,1
177,1778953264.32,11.81,84.03,61.1,1,1,4,person,center,0.38,0.44,1
178,1778953264.4,11.79,84.21,61.1,1,1,4,person,center,0.4,0.45,1
179,1778953264.49,11.59,85.68,53.3,1,1,4,person,center,0.4,0.45,1
180,1778953264.58,11.47,86.57,58.8,1,1,4,person,center,0.41,0.47,1
181,1778953264.66,11.66,85.15,63.9,1,1,4,person,center,0.41,0.46,1
182,1778953264.75,11.62,85.42,54.8,1,1,4,person,center,0.4,0.46,0
183,1778953264.83,11.69,84.96,61.1,1,1,4,person,center,0.4,0.47,0
184,1778953264.92,11.54,86.06,58.8,1,1,4,person,center,0.39,0.47,0
185,1778953265.01,11.57,85.8,56.3,2,2,"4,12","person,tv","center,center","0.38,0.26","0.48,0.0",0
186,1778953265.09,11.7,84.86,61.1,1,1,4,person,right,0.36,0.48,1
187,1778953265.18,11.72,84.68,58.8,2,2,"4,12","person,tv","right,center","0.36,0.22","0.48,0.18",0
188,1778953265.26,11.7,84.85,61.1,2,2,"4,12","person,tv","right,center","0.36,0.23","0.48,0.18",0
189,1778953265.35,11.73,84.6,58.8,2,2,"4,12","person,tv","right,center","0.35,0.22","0.47,0.18",0
190,1778953265.44,11.63,85.38,53.3,2,2,"4,12","person,tv","right,center","0.35,0.22","0.45,0.18",0
191,1778953265.52,11.7,84.88,57.6,2,2,"4,12","person,tv","right,center","0.34,0.22","0.43,0.17",0
192,1778953265.61,11.58,85.77,58.8,1,1,4,person,right,0.33,0.41,1
193,1778953265.69,11.65,85.21,60.0,1,1,4,person,right,0.32,0.41,1
194,1778953265.78,11.73,84.64,62.2,1,1,4,person,right,0.31,0.4,1
195,1778953265.87,11.57,85.78,58.8,1,1,4,person,right,0.3,0.4,1
196,1778953265.95,11.71,84.81,62.2,2,2,"4,13","person,person","right,right","0.29,0.28","0.39,0.0",1
197,1778953266.04,11.48,86.4,62.9,1,1,13,person,right,0.28,0.35,2
198,1778953266.13,11.61,85.54,63.2,2,2,"4,13","person,person","right,right","0.26,0.27","0.36,0.34",1
199,1778953266.21,11.63,85.36,58.8,1,1,4,person,right,0.26,0.38,2
