frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
139,1778953084.56,11.67,85.11,58.8,1,1,1,person,center,0.85,0.63,0
140,1778953084.64,11.72,84.7,56.3,1,1,1,person,center,0.86,0.63,0
141,1778953084.73,11.72,84.7,57.6,1,1,1,person,center,0.86,0.63,0
142,1778953084.82,11.72,84.69,56.3,1,1,1,person,center,0.86,0.63,0
143,1778953084.9,11.63,85.38,63.9,1,1,1,person,center,0.86,0.63,0
144,1778953084.99,11.68,84.96,56.2,1,1,1,person,center,0.86,0.63,0
145,1778953085.08,11.45,86.7,58.8,1,1,1,person,center,0.86,0.63,0
146,1778953085.16,11.69,84.91,62.2,1,1,1,person,center,0.86,0.63,0
147,1778953085.25,11.73,84.6,60.0,1,1,1,person,center,0.86,0.63,0
148,1778953085.33,11.73,84.59,54.8,1,1,1,person,center,0.86,0.63,0
149,1778953085.42,11.72,84.72,63.2,1,1,1,person,center,0.86,0.63,0
150,1778953085.5,11.68,84.98,56.2,1,1,1,person,center,0.86,0.63,0
151,1778953085.59,11.73,84.64,60.0,1,1,1,person,center,0.86,0.63,0
152,1778953085.67,11.69,84.87,58.8,1,1,1,person,center,0.86,0.63,0
153,1778953085.76,11.86,83.68,58.1,1,1,1,person,center,0.86,0.63,0
154,1778953085.84,11.77,84.33,61.1,1,1,1,person,center,0.86,0.63,0
155,1778953085.93,11.77,84.38,61.1,1,1,1,person,center,0.86,0.63,0
156,1778953086.02,11.63,85.34,57.6,1,1,1,person,center,0.86,0.63,0
157,1778953086.1,11.84,83.86,61.1,1,1,1,person,center,0.86,0.63,0
158,1778953086.19,11.73,84.62,60.0,1,1,1,person,center,0.86,0.63,0
159,1778953086.27,11.83,83.91,58.1,1,1,1,person,center,0.86,0.63,0
160,1778953086.36,11.85,83.71,56.3,1,1,1,person,center,0.86,0.63,0
161,1778953086.44,11.9,83.45,57.6,1,1,1,person,center,0.86,0.63,0
162,1778953086.52,11.84,83.8,58.8,1,1,1,person,center,0.86,0.63,0
163,1778953086.61,11.86,83.7,63.9,1,1,1,person,center,0.86,0.63,0
164,1778953086.69,11.73,84.56,58.8,1,1,1,person,center,0.86,0.63,0
165,1778953086.78,11.91,83.35,57.6,1,1,1,person,center,0.86,0.63,0
166,1778953086.86,11.77,84.32,58.8,1,1,1,person,center,0.86,0.63,0
167,1778953086.95,11.83,83.89,61.1,1,1,1,person,center,0.86,0.63,0
168,1778953087.04,11.55,85.96,60.6,1,1,1,person,center,0.86,0.63,0
169,1778953087.12,11.85,83.8,58.8,1,1,1,person,center,0.86,0.63,0
170,1778953087.21,11.83,83.89,58.8,1,1,1,person,center,0.86,0.63,0
171,1778953087.29,11.81,84.06,57.6,1,1,1,person,center,0.86,0.63,0
172,1778953087.38,11.81,84.03,56.3,1,1,1,person,center,0.86,0.63,0
173,1778953087.46,11.85,83.77,59.4,1,1,1,person,center,0.86,0.63,0
174,1778953087.54,11.83,83.86,60.0,1,1,1,person,center,0.86,0.63,0
175,1778953087.63,11.85,83.79,61.1,1,1,1,person,center,0.86,0.63,0
176,1778953087.71,11.82,83.96,58.8,1,1,1,person,center,0.86,0.63,0
177,1778953087.8,11.79,84.21,56.3,1,1,1,person,center,0.86,0.63,0
178,1778953087.88,11.78,84.24,58.1,1,1,1,person,center,0.86,0.63,0
179,1778953087.97,11.7,84.83,61.1,1,1,1,person,center,0.86,0.63,0
180,1778953088.06,11.55,85.95,58.8,1,1,1,person,center,0.86,0.63,0
181,1778953088.14,11.7,84.87,57.6,1,1,1,person,center,0.86,0.63,0
182,1778953088.23,11.75,84.45,54.8,1,1,1,person,center,0.86,0.63,0
183,1778953088.32,11.22,88.53,64.1,1,1,1,person,center,0.86,0.63,0
184,1778953088.41,11.2,88.53,60.6,1,1,1,person,center,0.86,0.63,0
185,1778953088.49,11.66,85.13,56.3,1,1,1,person,center,0.86,0.63,0
186,1778953088.58,11.65,85.13,56.3,1,1,1,person,center,0.86,0.63,0
187,1778953088.66,11.77,84.31,54.8,1,1,1,person,center,0.86,0.63,0
188,1778953088.75,11.64,85.27,56.2,1,1,1,person,center,0.86,0.63,0
189,1778953088.84,11.72,84.67,59.4,1,1,1,person,center,0.86,0.63,0
190,1778953088.92,11.59,85.61,61.1,1,1,1,person,center,0.86,0.63,0
191,1778953089.01,11.59,85.62,57.6,1,1,1,person,center,0.86,0.63,0
192,1778953089.09,11.64,85.23,60.0,1,1,1,person,center,0.86,0.63,0
193,1778953089.18,11.67,85.04,58.8,1,1,1,person,center,0.86,0.63,0
194,1778953089.27,11.67,85.03,60.0,1,1,1,person,center,0.86,0.63,0
195,1778953089.35,11.61,85.5,57.6,1,1,1,person,center,0.86,0.63,0
196,1778953089.44,11.6,85.5,57.6,1,1,1,person,center,0.86,0.63,0
197,1778953089.53,11.65,85.21,60.6,1,1,1,person,center,0.86,0.63,0
198,1778953089.61,11.65,85.17,57.6,1,1,1,person,center,0.86,0.63,0
199,1778953089.7,11.7,84.84,60.0,1,1,1,person,center,0.86,0.63,0
200,1778953089.78,11.61,85.42,60.0,1,1,1,person,center,0.86,0.63,0
201,1778953089.87,11.66,85.15,61.1,1,1,1,person,center,0.86,0.63,0
202,1778953089.96,11.67,85.05,57.6,1,1,1,person,center,0.86,0.63,0
