frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
150,1778953517.07,10.92,90.81,61.5,1,1,5,person,right,0.57,0.49,0
151,1778953517.16,10.96,90.54,60.5,1,1,5,person,right,0.57,0.49,0
152,1778953517.25,11.09,89.37,55.9,1,1,5,person,right,0.57,0.49,0
153,1778953517.34,11.06,89.63,57.1,1,1,5,person,right,0.57,0.49,0
154,1778953517.43,11.06,89.6,57.1,1,1,5,person,right,0.57,0.49,0
155,1778953517.52,11.06,89.68,53.1,1,1,5,person,right,0.57,0.49,0
156,1778953517.62,11.04,89.76,57.1,1,1,5,person,right,0.57,0.49,0
157,1778953517.71,11.07,89.61,57.1,1,1,5,person,right,0.57,0.49,0
158,1778953517.8,10.94,90.61,54.5,1,1,5,person,right,0.57,0.49,0
159,1778953517.89,11.08,89.51,50.0,1,1,5,person,right,0.57,0.49,0
160,1778953517.98,11.05,89.69,58.3,1,1,5,person,right,0.57,0.49,0
161,1778953518.07,10.95,90.63,57.1,1,1,5,person,right,0.57,0.49,0
162,1778953518.16,10.97,90.38,56.3,1,1,5,person,right,0.57,0.49,0
163,1778953518.25,11.08,89.51,58.3,1,1,5,person,right,0.58,0.49,0
164,1778953518.34,11.07,89.61,59.5,1,1,5,person,right,0.57,0.49,0
165,1778953518.43,11.08,89.53,59.5,1,1,5,person,right,0.57,0.49,0
166,1778953518.52,11.06,89.58,50.0,1,1,5,person,right,0.57,0.49,0
167,1778953518.61,11.09,89.42,62.2,1,1,5,person,right,0.57,0.49,0
168,1778953518.71,11.06,89.66,54.3,1,1,5,person,right,0.57,0.49,0
169,1778953518.8,11.07,89.47,53.1,1,1,5,person,right,0.57,0.49,0
170,1778953518.89,11.08,89.51,57.1,1,1,5,person,right,0.57,0.49,0
171,1778953518.98,11.09,89.4,57.1,1,1,5,person,right,0.57,0.49,0
172,1778953519.07,10.87,91.02,55.9,1,1,5,person,right,0.57,0.49,0
173,1778953519.17,10.38,95.45,62.9,1,1,5,person,right,0.57,0.49,0
174,1778953519.26,11.06,89.42,58.3,1,1,5,person,right,0.57,0.49,0
175,1778953519.35,10.99,90.21,55.9,1,1,5,person,right,0.57,0.49,0
176,1778953519.44,11.02,89.95,58.3,1,1,5,person,right,0.57,0.49,0
177,1778953519.53,11.07,89.57,55.9,1,1,5,person,right,0.57,0.49,0
178,1778953519.62,11.14,88.84,57.1,1,1,5,person,right,0.57,0.49,0
179,1778953519.71,11.15,89.0,54.5,1,1,5,person,right,0.57,0.49,0
180,1778953519.8,11.04,89.64,57.1,1,1,5,person,right,0.57,0.49,0
181,1778953519.89,11.09,89.39,55.6,1,1,5,person,right,0.57,0.49,0
182,1778953519.98,11.13,89.09,54.8,1,1,5,person,right,0.57,0.49,0
183,1778953520.07,10.95,90.63,50.0,1,1,5,person,right,0.57,0.49,0
184,1778953520.17,10.76,92.14,55.9,1,1,5,person,right,0.57,0.49,0
185,1778953520.26,11.05,89.66,51.6,1,1,5,person,right,0.57,0.49,0
186,1778953520.35,11.06,89.63,61.5,1,1,5,person,right,0.57,0.49,0
187,1778953520.44,10.97,90.39,58.3,1,1,5,person,right,0.57,0.49,0
188,1778953520.53,11.01,90.01,54.5,1,1,5,person,right,0.57,0.49,0
189,1778953520.62,11.2,88.41,55.9,1,1,5,person,right,0.58,0.49,0
190,1778953520.71,11.49,86.35,61.1,1,1,5,person,right,0.58,0.49,0
191,1778953520.79,11.71,84.76,56.3,1,1,5,person,right,0.58,0.49,0
192,1778953520.88,11.59,85.59,62.2,1,1,5,person,right,0.57,0.49,0
193,1778953520.96,11.61,85.47,63.2,1,1,5,person,right,0.58,0.49,0
194,1778953521.05,11.38,87.13,60.5,1,1,5,person,right,0.58,0.49,0
195,1778953521.14,11.56,85.81,61.1,1,1,5,person,right,0.58,0.49,0
196,1778953521.23,11.53,86.0,64.1,1,1,5,person,right,0.58,0.49,0
197,1778953521.31,11.67,84.97,65.0,1,1,5,person,right,0.58,0.49,0
198,1778953521.4,11.61,85.41,62.2,1,1,5,person,right,0.58,0.49,0
199,1778953521.49,11.64,85.2,62.2,1,1,5,person,right,0.58,0.49,0
200,1778953521.57,11.66,85.05,61.1,1,1,5,person,right,0.58,0.49,0
201,1778953521.66,11.66,85.08,61.1,1,1,5,person,right,0.58,0.49,0
202,1778953521.74,11.68,84.87,61.1,1,1,5,person,right,0.58,0.49,0
203,1778953521.83,11.63,85.27,62.2,1,1,5,person,right,0.58,0.49,0
204,1778953521.91,11.78,84.13,60.6,1,1,5,person,right,0.58,0.49,0
205,1778953522.0,11.44,86.77,58.3,1,1,5,person,right,0.58,0.49,0
206,1778953522.09,11.51,86.18,61.1,1,1,5,person,right,0.58,0.49,0
207,1778953522.17,11.73,84.52,60.0,1,1,5,person,right,0.59,0.5,0
208,1778953522.26,11.69,84.81,54.8,1,1,5,person,right,0.6,0.5,0
209,1778953522.35,11.67,84.99,60.0,1,1,5,person,right,0.6,0.51,0
210,1778953522.43,11.71,84.71,53.3,1,1,5,person,right,0.6,0.51,0
211,1778953522.52,11.72,84.65,62.9,1,1,5,person,right,0.6,0.51,0
212,1778953522.6,11.72,84.61,57.6,1,1,5,person,right,0.6,0.52,0
213,1778953522.69,11.67,84.96,61.1,1,1,5,person,right,0.61,0.52,0
214,1778953522.78,11.63,85.21,58.8,1,1,5,person,right,0.61,0.52,0
215,1778953522.86,11.7,84.79,60.0,1,1,5,person,right,0.61,0.53,0
216,1778953522.95,11.62,85.3,60.0,1,1,5,person,right,0.61,0.52,0
217,1778953523.04,11.39,87.12,60.0,1,1,5,person,right,0.62,0.53,0
218,1778953523.12,11.64,85.18,63.2,2,2,"5,7","person,microwave","right,right","0.63,0.29","0.54,0.0",0
