frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,audio_accepted,audio_spoken_total,audio_dropped_total,audio_repeated_blocked_total,final_messages
402,11.38,87.28,58.8,2,0,0,0,11,2,0,
403,11.22,88.58,60.6,1,0,0,0,11,2,0,
404,11.33,87.65,64.1,2,0,0,0,11,2,0,
405,11.29,88.03,59.5,1,0,0,0,11,2,0,
406,11.43,86.89,57.6,2,0,0,0,11,2,0,
407,11.17,88.91,61.1,1,0,0,0,11,2,0,
408,11.37,87.34,57.6,1,0,0,0,11,2,0,
409,11.58,85.81,56.3,2,0,0,0,11,2,0,
410,11.56,85.87,60.6,1,0,0,0,11,2,0,
411,11.41,87.09,62.2,1,0,0,0,11,2,0,
412,11.4,87.15,63.2,1,0,0,0,11,2,0,
413,11.51,86.33,61.1,1,0,0,0,11,2,0,
414,11.41,87.05,56.3,1,0,0,0,11,2,0,
415,11.56,85.95,57.6,1,0,0,0,11,2,0,
416,11.46,86.65,57.6,2,0,0,0,11,2,0,
417,11.43,86.92,58.8,2,0,0,0,11,2,0,
418,9.06,109.8,69.8,2,0,0,0,11,2,0,
419,11.43,86.88,61.1,2,0,0,0,11,2,0,
420,11.52,86.17,57.6,2,0,0,0,11,2,0,
421,7.93,125.55,70.6,1,1,0,0,12,2,0,
422,11.48,86.43,61.1,2,0,0,0,12,2,0,
423,11.39,87.12,64.9,2,1,0,0,12,2,0,
424,11.47,86.57,61.1,1,0,0,0,12,2,0,
425,11.52,86.26,58.8,1,0,0,0,12,2,0,
426,11.45,86.76,58.8,2,0,0,0,12,2,0,
427,11.49,86.42,60.0,1,0,0,0,12,2,0,
428,11.41,87.04,57.6,2,0,0,0,12,2,0,
429,11.25,88.35,58.8,2,0,0,0,12,2,0,
430,11.43,86.91,57.6,1,0,0,0,12,2,0,
431,11.43,86.81,57.6,1,0,0,0,12,2,0,
432,11.27,88.06,63.9,2,0,0,0,12,2,0,
433,11.52,86.23,55.9,2,0,0,0,12,2,0,
434,11.39,87.2,60.0,2,0,0,0,12,2,0,
435,11.48,86.51,61.1,2,0,0,0,12,2,0,
436,11.46,86.68,56.3,2,0,0,0,12,2,0,
437,11.41,87.05,60.0,1,0,0,0,12,2,0,
438,11.45,86.72,63.9,2,0,0,0,12,2,0,
439,11.46,86.67,63.2,1,0,0,0,12,2,0,
440,11.18,88.8,58.3,1,0,0,0,12,2,0,
441,11.46,86.73,61.1,1,0,0,0,12,2,0,
442,11.49,86.39,61.8,2,0,0,0,12,2,0,
443,11.46,86.69,63.2,1,0,0,0,12,2,0,
444,11.3,87.84,62.2,2,0,0,0,12,2,0,
445,10.04,99.03,69.8,2,0,0,0,12,2,0,
446,10.75,92.24,67.5,1,0,0,0,12,2,0,
447,10.88,91.18,64.9,1,0,0,0,12,2,0,
448,8.36,119.06,78.4,1,0,0,0,13,2,0,
449,11.27,88.18,61.1,2,0,0,0,13,2,0,
450,11.34,87.54,62.2,2,0,0,0,13,2,0,
451,11.2,88.69,54.5,1,0,0,0,13,2,0,
452,11.4,87.12,61.1,1,0,0,0,13,2,0,
453,11.44,86.86,61.1,1,0,0,0,13,2,0,
454,11.47,86.6,62.2,2,0,0,0,13,2,0,
455,11.5,86.4,57.6,2,0,0,0,13,2,0,
456,11.55,85.99,58.8,1,0,0,0,13,2,0,
457,11.43,86.95,61.1,1,0,0,0,13,2,0,
458,11.17,88.9,57.6,2,0,0,0,13,2,0,
459,11.59,85.71,60.0,1,0,0,0,13,2,0,
460,11.63,85.39,62.9,2,0,0,0,13,2,0,
461,11.57,85.86,61.8,1,0,0,0,13,2,0,
462,11.57,85.82,61.1,1,0,0,0,13,2,0,
463,11.36,87.44,62.2,1,0,0,0,13,2,0,
464,11.57,85.81,58.8,1,0,0,0,13,2,0,
465,11.47,86.61,62.2,2,0,0,0,13,2,0,
466,11.43,86.85,58.8,2,0,0,0,13,2,0,
467,11.6,85.65,56.3,3,1,1,1,13,2,0,Person very close on your left
468,11.56,85.87,61.8,1,0,0,0,13,2,0,
469,11.52,86.23,62.2,2,0,0,0,13,2,0,
